"GEOID20","pop","black_alone","black_any","vap","black_any_vap"
"130019501003015",17,0,0,14,0
"130019501003016",10,0,1,9,0
"130019501003017",54,0,0,46,0
"130019501003018",18,0,0,16,0
"130019501003019",21,4,4,15,0
"130019501003020",13,0,0,11,0
"130019501003021",0,0,0,0,0
"130019501003022",23,0,0,11,0
"130019501003023",22,0,0,15,0
"130019501003024",17,4,4,17,4
"130019501003025",1,1,1,1,1
"130019501003026",24,0,0,18,0
"130019501003027",4,1,2,4,2
"130019501003028",0,0,0,0,0
"130019501003029",18,2,2,18,2
"130019501003030",7,0,1,5,0
"130019501003031",24,3,3,14,2
"130019501003032",40,3,4,26,0
"130019501003033",65,0,3,44,0
"130019501003034",65,1,3,40,0
"130019501003035",21,0,1,18,1
"130019501003036",27,4,4,26,4
"130019501003037",22,3,4,20,3
"130019501003038",67,0,0,44,0
"130019501003039",0,0,0,0,0
"130019501003040",2,2,2,0,0
"130019501003041",46,0,0,33,0
"130019501003042",6,1,1,4,1
"130019501003043",0,0,0,0,0
"130019501003044",31,9,9,22,5
"130019501003045",9,3,8,9,8
"130019501003046",17,3,3,15,3
"130019501003047",9,2,2,7,0
"130019501003048",15,0,0,11,0
"130019501003049",4,0,0,4,0
"130019501003050",13,0,0,11,0
"130019501003051",9,0,0,6,0
"130019501003052",5,0,0,5,0
"130019501003053",12,0,0,12,0
"130019501003054",22,0,0,15,0
"130019501003055",7,0,0,7,0
"130019501003056",1,0,0,1,0
"130019501003057",10,1,1,9,0
"130019501003058",9,0,0,4,0
"130019501003059",9,0,0,5,0
"130019501003060",6,0,0,4,0
"130019501003061",0,0,0,0,0
"130019501003062",0,0,0,0,0
"130019501003063",39,0,0,39,0
"130019501003064",16,0,1,12,0
"130019501003065",14,0,0,7,0
"130019501003066",1,0,1,1,1
"130019501003067",11,0,0,8,0
"130019501003068",6,0,0,6,0
"130019501003069",5,0,0,4,0
"130019501003070",19,0,0,15,0
"130019501003071",9,0,0,9,0
"130019501003072",7,0,0,4,0
"130019501003073",60,0,0,47,0
"130019501003074",7,7,7,7,7
"130019501003075",7,0,0,7,0
"130019501003076",12,2,3,11,3
"130019502011000",11,3,3,5,2
"130019502011001",33,1,1,26,1
"130019502011002",5,0,0,4,0
"130019502011003",11,1,1,8,1
"130019502011004",12,3,5,8,5
"130019502011005",17,0,0,17,0
"130019502011006",7,1,1,7,1
"130019502011007",25,2,2,17,1
"130019502011008",0,0,0,0,0
"130019502011009",0,0,0,0,0
"130019502011010",14,0,0,14,0
"130019502011011",3,0,0,3,0
"130019502011012",72,11,11,49,9
"130019502011013",16,8,8,15,7
"130019502011014",26,25,25,13,12
"130019502011015",30,22,25,27,22
"130019502011016",20,8,8,13,8
"130019502011017",4,0,0,4,0
"130019502011018",0,0,0,0,0
"130019502011019",27,1,1,20,1
"130019502011020",3,1,1,3,1
"130019502011021",7,0,0,4,0
"130019502011022",27,0,0,17,0
"130019502011023",37,18,18,27,12
"130019502011024",30,30,30,27,27
"130019502011025",19,13,14,16,11
"130019502011026",45,35,35,35,26
"130019502011027",2,0,0,0,0
"130019502011028",52,42,42,40,30
"130019502011029",7,4,4,4,1
"130019502011030",142,69,70,99,53
"130019502011031",66,23,23,51,12
"130019502011032",16,10,10,15,10
"130019502011033",6,2,2,6,2
"130019502011034",53,49,50,37,35
"130019502011035",6,5,5,6,5
"130019502011036",0,0,0,0,0
"130019502011037",10,4,5,10,5
"130019502011038",23,2,3,14,1
"130019502011039",15,6,6,8,4
"130019502011040",0,0,0,0,0
"130019502011041",0,0,0,0,0
"130019502011042",30,22,22,28,21
"130019502011043",14,0,0,14,0
"130019502011044",9,3,3,6,0
"130019502011045",19,7,7,15,5
"130019502011046",15,3,3,10,1
"130019502011047",13,0,0,13,0
"130019502012000",39,2,2,34,2
"130019502012001",22,1,2,18,2
"130019502012002",85,0,3,61,1
"130019502012003",47,4,4,36,0
"130019502012004",65,5,5,45,3
"130019502012005",18,0,0,14,0
"130019502012006",48,1,1,45,1
"130019502012007",39,4,4,30,3
"130019502012008",13,4,4,5,4
"130019502012009",2,0,0,2,0
"130019502012010",18,4,6,12,3
"130019502012011",35,3,3,27,2
"130019502012012",18,3,3,15,0
"130019502012013",97,4,4,77,2
"130019502012014",19,1,1,16,1
"130019502012015",17,0,0,15,0
"130019502012016",48,5,5,38,5
"130019502012017",7,1,2,1,1
"130019502012018",12,3,3,11,3
"130019502012019",0,0,0,0,0
"130019502012020",16,0,0,13,0
"130019502012021",6,3,3,6,3
"130019502012022",185,67,67,149,52
"130019502012023",5,0,0,4,0
"130019502012024",8,7,7,7,7
"130019502012025",0,0,0,0,0
"130019502012026",30,2,3,23,0
"130019502012027",12,1,1,7,1
"130019502012028",4,3,3,3,3
"130019502012029",0,0,0,0,0
"130019502012030",0,0,0,0,0
"130019502012031",0,0,0,0,0
"130019502012032",9,0,0,3,0
"130019502012033",10,6,6,8,5
"130019502012034",12,0,1,5,1
"130019502012035",16,4,4,16,4
"130019502012036",0,0,0,0,0
"130019502012037",0,0,0,0,0
"130019502012038",0,0,0,0,0
"130019502012039",46,22,24,29,16
"130019502012040",0,0,0,0,0
"130019502012041",0,0,0,0,0
"130019502012042",0,0,0,0,0
"130019502012043",12,6,6,6,6
"130019502012044",0,0,0,0,0
"130019502012045",0,0,0,0,0
"130019502012046",0,0,0,0,0
"130019502012047",14,8,8,10,7
"130019502012048",20,18,18,18,17
"130019502012049",0,0,0,0,0
"130019502012050",27,23,23,17,16
"130019502012051",4,2,2,3,1
"130019502012052",10,5,6,8,6
"130019502012053",15,6,8,14,8
"130019502012054",0,0,0,0,0
"130019502012055",20,20,20,12,12
"130019502021000",50,4,4,50,4
"130019502021001",20,1,1,19,1
"130019502021002",21,2,2,15,1
"130019502021003",4,2,2,4,2
"130019502021004",11,0,3,5,1
"130019502021005",47,0,0,36,0
"130019502021006",12,0,2,11,2
"130019502021007",32,1,1,28,1
"130019502021008",25,1,1,24,1
"130019502021009",29,25,25,23,19
"130019502021010",43,0,1,27,0
"130019502021011",50,3,3,35,3
"130019502021012",20,5,5,14,5
"130019502021013",23,0,0,18,0
"130019502021014",30,8,8,17,1
"130019502021015",0,0,0,0,0
"130019502021016",3,1,1,3,1
"130019502021017",2,1,1,1,0
"130019502021018",11,3,3,11,3
"130019502021019",210,66,67,203,64
"130019502021020",3,1,1,3,1
"130019502021021",21,4,4,18,4
"130019502021022",0,0,0,0,0
"130019502021023",13,3,3,4,0
"130019502021024",0,0,0,0,0
"130019502021025",30,4,4,21,4
"130019502021026",7,0,0,4,0
"130019502021027",20,1,1,13,1
"130019502021028",4,4,4,4,4
"130019502021029",0,0,0,0,0
"130019502021030",10,2,2,9,2
"130019502021031",0,0,0,0,0
"130019502021032",11,10,10,9,9
"130019502021033",16,5,5,10,5
"130019502021034",0,0,0,0,0
"130019502021035",8,2,2,6,2
"130019502021036",0,0,0,0,0
"130019502021037",5,5,5,5,5
"130019502021038",11,6,6,10,6
"130019502021039",19,19,19,13,13
"130019502021040",11,11,11,11,11
"130019502021041",14,7,7,11,7
"130019502021042",0,0,0,0,0
"130019502021043",2,0,0,1,0
"130019502021044",9,0,0,9,0
"130019502021045",143,80,81,122,61
"130019502021046",21,17,17,14,10
"130019502021047",38,36,36,22,20
"130019502021048",5,5,5,4,4
"130019502021049",12,8,8,9,5
"130019502021050",11,9,9,5,5
"130019502021051",1,1,1,1,1
"130019502021052",10,10,10,5,5
"130019502021053",6,2,2,5,1
"130019502021054",0,0,0,0,0
"130019502021055",9,8,8,7,6
"130019502021056",0,0,0,0,0
"130019502021057",10,3,3,6,3
"130019502021058",2,0,0,1,0
"130019502021059",3,3,3,3,3
"130019502021060",37,8,8,25,4
"130019502021061",12,10,10,9,7
"130019502021062",11,11,11,5,5
"130019502021063",13,13,13,13,13
"130019502021064",17,10,10,13,7
"130019502021065",23,16,16,20,14
"130019502021066",8,5,6,6,5
"130019502021067",0,0,0,0,0
"130019502021068",11,8,8,7,4
"130019502021069",0,0,0,0,0
"130019502021070",1,1,1,1,1
"130019502021071",8,5,6,7,5
"130019502021072",4,2,2,2,0
"130019502021073",0,0,0,0,0
"130019502022000",0,0,0,0,0
"130019502022001",16,9,9,16,9
"130019502022002",0,0,0,0,0
"130019502022003",0,0,0,0,0
"130019502022004",0,0,0,0,0
"130019502022005",1,1,1,1,1
"130019502022006",29,26,26,17,14
"130019502022007",31,31,31,22,22
"130019502022008",14,13,13,13,13
"130019502022009",10,10,10,2,2
"130019502022010",8,8,8,8,8
"130019502022011",45,44,45,40,40
"130019502022012",4,4,4,4,4
"130019502022013",8,4,4,8,4
"130019502022014",0,0,0,0,0
"130019502022015",0,0,0,0,0
"130019502022016",0,0,0,0,0
"130019502022017",0,0,0,0,0
"130019502022018",8,6,6,8,6
"130019502022019",4,2,4,2,2
"130019502022020",6,5,5,5,4
"130019502022021",13,6,6,8,1
"130019502022022",14,11,13,5,4
"130019502022023",31,27,31,27,27
"130019502022024",38,32,32,22,17
"130019502022025",12,12,12,12,12
"130019502022026",13,10,10,13,10
"130019502022027",5,5,5,3,3
"130019502022028",26,19,19,24,17
"130019502022029",10,6,8,6,4
"130019502022030",19,14,14,17,13
"130019502022031",39,38,39,28,28
"130019502022032",4,3,4,2,2
"130019502022033",0,0,0,0,0
"130019502022034",6,6,6,6,6
"130019502022035",4,4,4,0,0
"130019502022036",0,0,0,0,0
"130019502022037",49,47,47,29,27
"130019502022038",10,10,10,0,0
"130019502022039",5,0,0,5,0
"130019502022040",3,3,3,0,0
"130019502022041",12,6,6,6,3
"130019502022042",11,7,7,9,5
"130019502022043",13,10,10,11,8
"130019502022044",4,4,4,3,3
"130019502022045",8,6,6,6,6
"130019502022046",5,2,2,1,1
"130019502022047",3,1,2,2,1
"130019502022048",16,15,15,7,7
"130019502022049",0,0,0,0,0
"130019502022050",8,5,5,5,2
"130019502022051",6,6,6,6,6
"130019502022052",0,0,0,0,0
"130019502022053",3,0,0,3,0
"130019502022054",0,0,0,0,0
"130019502022055",10,6,9,2,2
"130019502022056",7,3,3,4,3
"130019502022057",5,4,4,4,3
"130019502022058",21,13,13,19,11
"130019502022059",0,0,0,0,0
"130019502022060",3,1,2,2,1
"130019502022061",10,0,2,8,2
"130019502022062",7,7,7,7,7
"130019502022063",0,0,0,0,0
"130019502022064",0,0,0,0,0
"130019502022065",9,2,2,7,0
"130019502022066",4,0,0,4,0
"130019502022067",16,0,0,12,0
"130019502022068",0,0,0,0,0
"130019502022069",13,2,2,11,1
"130019502022070",25,1,1,22,1
"130019502022071",0,0,0,0,0
"130019502022072",3,3,3,3,3
"130019502022073",7,5,5,7,5
"130019502022074",0,0,0,0,0
"130019502022075",0,0,0,0,0
"130019502022076",5,3,3,5,3
"130019502022077",0,0,0,0,0
"130019502022078",1,0,0,1,0
"130019502022079",0,0,0,0,0
"130019502022080",4,1,1,4,1
"130019502022081",0,0,0,0,0
"130019502022082",1,1,1,0,0
"130019502022083",8,5,5,7,5
"130019502022084",0,0,0,0,0
"130019502022085",16,7,7,12,3
"130019502022086",4,4,4,3,3
"130019502022087",0,0,0,0,0
"130019502022088",0,0,0,0,0
"130019502022089",0,0,0,0,0
"130019502022090",5,4,5,5,5
"130019502022091",3,3,3,3,3
"130019502022092",19,10,10,18,10
"130019502022093",2,2,2,0,0
"130019502022094",15,0,0,9,0
"130019502022095",18,5,5,11,2
"130019502022096",3,0,1,1,1
"130019502022097",0,0,0,0,0
"130019502022098",8,1,1,8,1
"130019502022099",2,2,2,1,1
"130019502022100",0,0,0,0,0
"130019502022101",9,2,2,2,0
"130019502022102",5,4,4,3,3
"130019502022103",17,14,16,14,14
"130019502022104",9,8,8,8,8
"130019502022105",10,7,8,3,3
"130019502022106",6,0,0,5,0
"130019502022107",2,0,0,1,0
"130019503011000",29,11,11,20,11
"130019503011001",0,0,0,0,0
"130019503011002",40,0,1,24,0
"130019503011003",37,4,4,23,4
"130019503011004",22,0,0,10,0
"130019503011005",36,2,2,23,0
"130019503011006",9,1,1,8,0
"130019503011007",18,0,0,14,0
"130019503011008",23,0,2,17,0
"130019503011009",9,1,1,2,1
"130019503011010",1,0,0,1,0
"130019503011011",17,5,5,11,3
"130019503011012",17,2,4,10,2
"130019503011013",18,0,0,15,0
"130019503011014",101,14,15,91,13
"130019503011015",9,0,1,6,0
"130019503011016",0,0,0,0,0
"130019503011017",25,2,2,22,0
"130019503011018",9,4,4,9,4
"130019503011019",9,1,1,6,0
"130019503011020",10,7,7,5,3
"130019503011021",0,0,0,0,0
"130019503011022",14,0,0,11,0
"130019503011023",11,7,7,6,4
"130019503011024",4,0,0,4,0
"130019503011025",22,6,6,17,1
"130019503011026",30,17,17,13,8
"130019503011027",14,3,3,10,3
"130019503011028",8,2,2,8,2
"130019503011029",3,2,2,1,0
"130019503011030",0,0,0,0,0
"130019503011031",2,0,0,2,0
"130019503011032",11,3,5,11,5
"130019503011033",0,0,0,0,0
"130019503011034",31,14,14,23,8
"130019503011035",32,11,12,30,12
"130019503011036",25,13,13,11,5
"130019503011037",0,0,0,0,0
"130019503011038",14,0,0,11,0
"130019503011039",1,1,1,1,1
"130019503011040",0,0,0,0,0
"130019503011041",38,0,1,25,0
"130019503011042",17,3,3,17,3
"130019503011043",15,6,6,15,6
"130019503011044",0,0,0,0,0
"130019503011045",0,0,0,0,0
"130019503011046",16,8,8,9,3
"130019503011047",33,6,6,32,6
"130019503011048",9,0,2,8,2
"130019503011049",0,0,0,0,0
"130019503011050",0,0,0,0,0
"130019503011051",6,1,1,3,0
"130019503011052",0,0,0,0,0
"130019503011053",1,0,0,1,0
"130019503011054",0,0,0,0,0
"130019503011055",8,1,1,1,0
"130019503011056",13,2,2,12,2
"130019503011057",0,0,0,0,0
"130019503011058",10,4,4,10,4
"130019503011059",3,0,0,2,0
"130019503011060",13,4,4,11,2
"130019503011061",88,36,36,73,22
"130019503011062",47,2,2,37,1
"130019503011063",21,3,3,20,3
"130019503011064",23,0,0,14,0
"130019503011065",38,8,8,27,4
"130019503011066",9,4,4,7,3
"130019503011067",56,10,11,47,11
"130019503011068",39,11,13,27,8
"130019503011069",10,1,2,9,1
"130019503011070",22,3,4,17,4
"130019503011071",28,1,1,20,0
"130019503011072",10,1,1,5,1
"130019503011073",0,0,0,0,0
"130019503011074",19,0,0,18,0
"130019503011075",0,0,0,0,0
"130019503011076",18,0,0,13,0
"130019503011077",0,0,0,0,0
"130019503011078",45,6,6,38,3
"130019503011079",10,1,1,6,1
"130019503011080",0,0,0,0,0
"130019503011081",85,3,6,82,3
"130019503011082",0,0,0,0,0
"130019503011083",13,8,8,9,5
"130019503011084",30,7,7,22,1
"130019503011085",5,0,1,1,0
"130019503011086",0,0,0,0,0
"130019503011087",0,0,0,0,0
"130019503011088",0,0,0,0,0
"130019503011089",11,0,0,7,0
"130019503011090",16,0,0,8,0
"130019503011091",0,0,0,0,0
"130019503011092",0,0,0,0,0
"130019503011093",0,0,0,0,0
"130019503011094",10,4,4,4,0
"130019503011095",0,0,0,0,0
"130019503011096",16,1,3,12,1
"130019503011097",0,0,0,0,0
"130019503011098",0,0,0,0,0
"130019503012000",0,0,0,0,0
"130019503012001",0,0,0,0,0
"130019503012002",7,0,1,5,0
"130019503012003",0,0,0,0,0
"130019503012004",0,0,0,0,0
"130019503012005",0,0,0,0,0
"130019503012006",0,0,0,0,0
"130019503012007",0,0,0,0,0
"130019503012008",0,0,0,0,0
"130019503012009",0,0,0,0,0
"130019503012010",0,0,0,0,0
"130019503012011",0,0,0,0,0
"130019503012012",0,0,0,0,0
"130019503012013",0,0,0,0,0
"130019503012014",0,0,0,0,0
"130019503012015",0,0,0,0,0
"130019503012016",0,0,0,0,0
"130019503012017",5,0,0,3,0
"130019503012018",20,10,10,14,7
"130019503012019",4,0,0,1,0
"130019503012020",16,12,16,12,12
"130019503012021",18,6,6,15,6
"130019503012022",3,0,0,3,0
"130019503012023",10,8,8,4,3
"130019503012024",0,0,0,0,0
"130019503012025",0,0,0,0,0
"130019503012026",0,0,0,0,0
"130019503012027",6,3,3,0,0
"130019503012028",33,29,29,26,24
"130019503012029",12,3,3,11,3
"130019503012030",16,9,9,7,7
"130019503012031",5,2,2,1,0
"130019503012032",4,1,1,3,1
"130019503012033",5,0,0,5,0
"130019503012034",16,3,3,15,3
"130019503012035",17,3,3,16,2
"130019503012036",22,5,5,20,3
"130019503012037",7,2,3,6,2
"130019503012038",0,0,0,0,0
"130019503012039",39,0,0,19,0
"130019503012040",26,0,0,21,0
"130019503012041",14,0,0,13,0
"130019503012042",0,0,0,0,0
"130019503012043",9,1,1,4,1
"130019503012044",7,1,1,6,1
"130019503012045",20,0,0,16,0
"130019503012046",7,3,3,5,1
"130019503012047",13,0,0,10,0
"130019503012048",0,0,0,0,0
"130019503012049",7,0,0,5,0
"130019503012050",3,0,0,0,0
"130019503012051",5,1,2,2,0
"130019503012052",0,0,0,0,0
"130019503012053",27,4,4,13,3
"130019503012054",12,12,12,8,8
"130019503012055",7,3,3,4,3
"130019503012056",6,5,5,5,5
"130019503012057",0,0,0,0,0
"130019503012058",11,7,7,7,4
"130019503012059",40,1,3,29,1
"130019503012060",10,0,0,9,0
"130019503012061",15,0,0,8,0
"130019503012062",28,9,10,26,9
"130019503012063",0,0,0,0,0
"130019503012064",7,0,0,7,0
"130019503012065",107,21,21,81,18
"130019503012066",16,0,3,6,1
"130019503012067",16,1,1,12,0
"130019503012068",11,0,0,10,0
"130019503012069",4,0,0,2,0
"130019503012070",0,0,0,0,0
"130019503012071",0,0,0,0,0
"130019503012072",22,0,1,20,1
"130019503012073",11,1,1,11,1
"130019503012074",0,0,0,0,0
"130019503012075",9,0,1,7,0
"130019503012076",3,0,1,2,0
"130019503012077",0,0,0,0,0
"130019503012078",10,0,0,10,0
"130019503012079",7,0,0,0,0
"130019503012080",0,0,0,0,0
"130019503012081",9,0,0,8,0
"130019503012082",35,0,0,29,0
"130019503012083",3,0,0,1,0
"130019503012084",2,0,0,2,0
"130019503012085",8,0,0,8,0
"130019503012086",16,2,4,14,4
"130019503012087",32,1,1,22,1
"130019503012088",4,0,0,3,0
"130019503012089",11,8,8,2,0
"130019503012090",0,0,0,0,0
"130019503012091",33,6,6,24,5
"130019503012092",12,0,0,9,0
"130019503012093",13,0,0,13,0
"130019503012094",6,0,0,5,0
"130019503012095",3,0,0,3,0
"130019503012096",15,0,0,15,0
"130019503012097",15,4,4,12,4
"130019503012098",7,0,0,5,0
"130019503012099",12,3,3,11,3
"130019503012100",3,0,0,0,0
"130019503012101",2,0,0,2,0
"130019503012102",53,11,11,44,9
"130019503012103",3,0,0,2,0
"130019503012104",22,0,0,18,0
"130019503012105",4,0,0,4,0
"130019503012106",0,0,0,0,0
"130019503012107",23,7,7,19,7
"130019503012108",6,4,4,2,0
"130019503012109",9,0,0,7,0
"130019503012110",42,3,3,34,3
"130019503012111",0,0,0,0,0
"130019503012112",63,2,2,47,2
"130019503012113",10,1,1,9,0
"130019503012114",27,0,0,23,0
"130019503012115",6,0,0,6,0
"130019503012116",14,6,6,10,4
"130019503012117",11,0,0,10,0
"130019503012118",4,0,0,4,0
"130019503012119",0,0,0,0,0
"130019503012120",12,0,0,8,0
"130019503012121",0,0,0,0,0
"130019503012122",12,8,8,5,2
"130019503012123",17,12,12,11,9
"130019503012124",22,18,18,16,13
"130019503012125",20,15,15,18,13
"130019503012126",4,0,0,4,0
"130019503012127",2,0,0,0,0
"130019503012128",16,16,16,6,6
"130019503012129",6,0,0,4,0
"130019503012130",12,11,11,9,9
"130019503012131",7,0,0,3,0
"130019503012132",14,8,8,14,8
"130019503012133",0,0,0,0,0
"130019503012134",32,24,24,24,19
"130019503012135",0,0,0,0,0
"130019503012136",2,0,0,1,0
"130019503012137",0,0,0,0,0
"130019503012138",0,0,0,0,0
"130019503012139",0,0,0,0,0
"130019503012140",8,1,2,7,1
"130019503012141",14,7,7,9,4
"130019503012142",0,0,0,0,0
"130019503012143",0,0,0,0,0
"130019503012144",0,0,0,0,0
"130019503012145",24,6,6,18,5
"130019503012146",0,0,0,0,0
"130019503012147",0,0,0,0,0
"130019503012148",17,0,0,15,0
"130019503012149",0,0,0,0,0
"130019503012150",12,1,1,9,0
"130019503012151",8,1,1,3,0
"130019503012152",13,0,0,11,0
"130019503012153",11,0,0,11,0
"130019503021000",0,0,0,0,0
"130019503021001",0,0,0,0,0
"130019503021002",10,1,2,8,0
"130019503021003",1,1,1,0,0
"130019503021004",0,0,0,0,0
"130019503021005",7,0,0,7,0
"130019503021006",13,0,0,13,0
"130019503021007",13,6,7,8,2
"130019503021008",2,2,2,2,2
"130019503021009",0,0,0,0,0
"130019503021010",5,2,2,5,2
"130019503021011",4,0,0,2,0
"130019503021012",0,0,0,0,0
"130019503021013",3,2,2,3,2
"130019503021014",3,0,0,0,0
"130019503021015",0,0,0,0,0
"130019503021016",0,0,0,0,0
"130019503021017",0,0,0,0,0
"130019503021018",2,0,0,2,0
"130019503021019",24,2,5,23,4
"130019503021020",0,0,0,0,0
"130019503021021",22,0,0,13,0
"130019503021022",13,3,3,13,3
"130019503021023",46,9,9,31,9
"130019503021024",20,0,0,9,0
"130019503021025",16,2,2,14,2
"130019503021026",5,0,0,5,0
"130019503021027",21,6,6,16,4
"130019503021028",0,0,0,0,0
"130019503021029",0,0,0,0,0
"130019503021030",5,1,1,3,0
"130019503021031",7,0,2,5,0
"130019503021032",4,0,1,1,1
"130019503021033",7,0,0,7,0
"130019503021034",26,4,4,24,4
"130019503021035",31,13,14,25,12
"130019503021036",30,12,12,25,11
"130019503021037",27,12,13,22,9
"130019503021038",10,0,0,10,0
"130019503021039",11,3,3,4,0
"130019503021040",5,0,2,0,0
"130019503021041",65,44,44,40,27
"130019503021042",158,78,82,102,50
"130019503021043",16,1,1,10,1
"130019503021044",9,0,0,3,0
"130019503021045",14,3,3,12,1
"130019503021046",34,2,6,12,0
"130019503021047",11,5,5,6,3
"130019503021048",5,0,0,4,0
