"check","value"
"study years carrying the national economy question","18"
"years where the sign of the gap matches the president's party","18 of 18"
"years where the personal-finance gap is smaller than the national one","17 of 18"
"the only year where it is not","2008"
"years where the two gaps point the same direction","18 of 18"
"the two narrowest gaps in the series","1990 and 2008"
"2020: strong Democrats minus strong Republicans, points","51"
"2024: the same subtraction, points","-70.2"
"years where weighting changes the sign of the gap","0"
"largest difference weighting makes to any gap, points","3.9"
