"brand","osm_type","osm_id","lat","lon","fips","fips_2020","county_name","state"
"Whole Foods Market","node",266814250,36.0071,-78.9206,"37063","37063","Durham County","NC"
"Whole Foods Market","node",333786275,39.9428,-75.1581,"42101","42101","Philadelphia County","PA"
"Whole Foods Market","node",353120473,41.7148,-72.6078,"09110","09003","Capitol Planning Region","CT"
"Whole Foods Market","node",357524353,37.293,-121.931,"06085","06085","Santa Clara County","CA"
"Whole Foods Market","node",389404007,37.7811,-122.4,"06075","06075","San Francisco County","CA"
"Whole Foods Market","node",446942641,39.4689,-119.787,"32031","32031","Washoe County","NV"
"Whole Foods Market","node",477829394,47.6751,-122.316,"53033","53033","King County","WA"
"Whole Foods Market","node",506867784,40.0066,-83.0525,"39049","39049","Franklin County","OH"
"Whole Foods Market","node",537495439,30.3891,-97.7415,"48453","48453","Travis County","TX"
"Whole Foods Market","node",544104683,42.3891,-71.1418,"25017","25017","Middlesex County","MA"
"Whole Foods Market","node",564835927,40.0238,-105.256,"08013","08013","Boulder County","CO"
"Whole Foods Market","node",566200280,42.3301,-71.2064,"25017","25017","Middlesex County","MA"
"Whole Foods Market","node",584125647,40.7348,-73.9914,"36061","36061","New York County","NY"
"Whole Foods Market","node",599362166,42.3531,-72.5555,"25015","25015","Hampshire County","MA"
"Whole Foods Market","node",621048212,38.7799,-77.1898,"51059","51059","Fairfax County","VA"
"Whole Foods Market","node",627616759,34.013,-84.1835,"13121","13121","Fulton County","GA"
"Whole Foods Market","node",709777197,36.9743,-121.964,"06087","06087","Santa Cruz County","CA"
"Whole Foods Market","node",728079044,40.1143,-75.2813,"42091","42091","Montgomery County","PA"
"Whole Foods Market","node",735126449,38.9094,-77.0336,"11001","11001","District of Columbia","DC"
"Whole Foods Market","node",735126513,38.9491,-77.0792,"11001","11001","District of Columbia","DC"
"Whole Foods Market","node",857949871,40.8043,-74.2491,"34013","34013","Essex County","NJ"
"Whole Foods Market","node",889585036,40.7156,-74.0117,"36061","36061","New York County","NY"
"Whole Foods Market","node",903239399,41.9483,-87.6498,"17031","17031","Cook County","IL"
"Whole Foods Market","node",952341610,40.0488,-75.4113,"42029","42029","Chester County","PA"
"Whole Foods Market","node",966212483,42.4647,-71.0625,"25017","25017","Middlesex County","MA"
"Whole Foods Market","node",999526102,40.7684,-73.9827,"36061","36061","New York County","NY"
"Whole Foods Market","node",1002186270,37.7901,-122.423,"06075","06075","San Francisco County","CA"
"Whole Foods Market","node",1014167614,38.7674,-121.267,"06061","06061","Placer County","CA"
"Whole Foods Market","node",1040770752,34.0915,-118.361,"06037","06037","Los Angeles County","CA"
"Whole Foods Market","node",1236685966,29.6,-95.6231,"48157","48157","Fort Bend County","TX"
"Whole Foods Market","node",1269964462,39.2051,-84.3738,"39061","39061","Hamilton County","OH"
"Whole Foods Market","node",1284351928,35.9346,-79.0281,"37135","37135","Orange County","NC"
"Whole Foods Market","node",1317738580,42.3759,-71.103,"25017","25017","Middlesex County","MA"
"Whole Foods Market","node",1340617555,39.5921,-104.962,"08005","08005","Arapahoe County","CO"
"Whole Foods Market","node",1347464430,38.3233,-122.306,"06055","06055","Napa County","CA"
"Whole Foods Market","node",1572151119,39.8634,-75.5428,"42045","42045","Delaware County","PA"
"Whole Foods Market","node",1598184139,32.8679,-96.7679,"48113","48113","Dallas County","TX"
"Whole Foods Market","node",1654165524,21.2775,-157.786,"15003","15003","Honolulu County","HI"
"Whole Foods Market","node",1661882622,42.5293,-83.363,"26125","26125","Oakland County","MI"
"Whole Foods Market","node",1679535999,41.8682,-87.6388,"17031","17031","Cook County","IL"
"Whole Foods Market","node",1680552206,37.2361,-121.962,"06085","06085","Santa Clara County","CA"
"Whole Foods Market","node",1699751363,39.7008,-104.94,"08005","08005","Arapahoe County","CO"
"Whole Foods Market","node",1775718440,35.7375,-78.7772,"37183","37183","Wake County","NC"
"Whole Foods Market","node",1784334526,32.8025,-79.889,"45019","45019","Charleston County","SC"
"Whole Foods Market","node",1809517501,40.7941,-73.9669,"36061","36061","New York County","NY"
"Whole Foods Market","node",1908427786,38.1059,-122.566,"06041","06041","Marin County","CA"
"Whole Foods Market","node",1923227121,33.7751,-84.3659,"13121","13121","Fulton County","GA"
"Whole Foods Market","node",1924130352,37.7238,-122.455,"06075","06075","San Francisco County","CA"
"Whole Foods Market","node",1934511929,47.6183,-122.338,"53033","53033","King County","WA"
"Whole Foods Market","node",1949785344,34.0612,-118.447,"06037","06037","Los Angeles County","CA"
"Whole Foods Market","node",1974497233,32.7481,-117.158,"06073","06073","San Diego County","CA"
"Whole Foods Market","node",2039276616,41.0282,-73.7586,"36119","36119","Westchester County","NY"
"Whole Foods Market","node",2081763609,47.637,-122.377,"53033","53033","King County","WA"
"Whole Foods Market","node",2320540467,40.0983,-83.0865,"39049","39049","Franklin County","OH"
"Whole Foods Market","node",2326348544,40.625,-111.836,"49035","49035","Salt Lake County","UT"
"Whole Foods Market","node",2337345568,36.1033,-86.8186,"47037","47037","Davidson County","TN"
"Whole Foods Market","node",2343271256,33.0297,-96.7968,"48085","48085","Collin County","TX"
"Whole Foods Market","node",2360938599,34.2402,-119.179,"06111","06111","Ventura County","CA"
"Whole Foods Market","node",2385335039,40.6123,-80.053,"42003","42003","Allegheny County","PA"
"Whole Foods Market","node",2423520776,34.4394,-119.745,"06083","06083","Santa Barbara County","CA"
"Whole Foods Market","node",2424886792,39.652,-104.902,"08031","08031","Denver County","CO"
"Whole Foods Market","node",2465177883,44.9825,-93.269,"27053","27053","Hennepin County","MN"
"Whole Foods Market","node",2479681841,37.7687,-122.427,"06075","06075","San Francisco County","CA"
"Whole Foods Market","node",2486570146,40.7238,-73.9924,"36061","36061","New York County","NY"
"Whole Foods Market","node",2494583249,42.5144,-71.0321,"25009","25009","Essex County","MA"
"Whole Foods Market","node",2554834897,38.9122,-94.6684,"20091","20091","Johnson County","KS"
"Whole Foods Market","node",2618948099,26.6412,-80.2064,"12099","12099","Palm Beach County","FL"
"Whole Foods Market","node",2621242779,26.8482,-80.0944,"12099","12099","Palm Beach County","FL"
"Whole Foods Market","node",2700809532,42.362,-71.0653,"25025","25025","Suffolk County","MA"
"Whole Foods Market","node",2768379127,45.5369,-122.619,"41051","41051","Multnomah County","OR"
"Whole Foods Market","node",2793710092,38.2914,-122.463,"06097","06097","Sonoma County","CA"
"Whole Foods Market","node",2822010448,30.4322,-91.1114,"22033","22033","East Baton Rouge Parish","LA"
"Whole Foods Market","node",2830643350,40.914,-74.0573,"34003","34003","Bergen County","NJ"
"Whole Foods Market","node",2832738011,42.2484,-83.7584,"26161","26161","Washtenaw County","MI"
"Whole Foods Market","node",2871348459,42.1718,-70.9534,"25021","25021","Norfolk County","MA"
"Whole Foods Market","node",2875583535,34.151,-118.072,"06037","06037","Los Angeles County","CA"
"Whole Foods Market","node",2892741011,34.0012,-118.47,"06037","06037","Los Angeles County","CA"
"Whole Foods Market","node",2926799404,35.0632,-85.3144,"47065","47065","Hamilton County","TN"
"Whole Foods Market","node",3027557421,30.2202,-97.8416,"48453","48453","Travis County","TX"
"Whole Foods Market","node",3036354722,41.5979,-93.7611,"19153","19153","Polk County","IA"
