"check","value"
"every member was looked for on every platform",TRUE
"no platform covers the whole chamber",TRUE
"coverage differs between platforms rather than being one wall",TRUE
"the Bluesky gap is a party gap, not a size gap",TRUE
"X covers both parties at rates within 25 points of each other",TRUE
"a wrong handle is a different failure from a missing one",TRUE
"stale handles concentrate among members whose job changed",TRUE
"the exact number harvested is the follower count and not another field",TRUE
"the full member table agrees with the coverage table, platform by platform",TRUE
"the platforms do not agree on one answer",TRUE
