"st","part","status","x","y"
"AK",1,"retained",140.2,517.6
"AK",1,"retained",140.4,519.6
"AK",1,"retained",140.7,519.7
"AK",1,"retained",140.8,519.6
"AK",1,"retained",141.1,519.7
"AK",1,"retained",141.3,519.5
"AK",1,"retained",141.7,519.4
"AK",1,"retained",141.7,519.8
"AK",1,"retained",141.8,519.9
"AK",1,"retained",142.1,520
"AK",1,"retained",142.1,520.2
"AK",1,"retained",143,520.8
"AK",1,"retained",143.2,521.2
"AK",1,"retained",143.5,520.8
"AK",1,"retained",143.7,520.8
"AK",1,"retained",143.8,520.6
"AK",1,"retained",143.7,520.3
"AK",1,"retained",143.8,520.3
"AK",1,"retained",143.9,520.1
"AK",1,"retained",144,520
"AK",1,"retained",144.3,519.7
"AK",1,"retained",144.7,520
"AK",1,"retained",144.7,520.2
"AK",1,"retained",144.8,520.4
"AK",1,"retained",145,520.4
"AK",1,"retained",145.2,520.5
"AK",1,"retained",145.3,520.7
"AK",1,"retained",145.4,520.9
"AK",1,"retained",145.8,521
"AK",1,"retained",145.9,521.1
"AK",1,"retained",146.2,521.3
"AK",1,"retained",146.2,521.4
"AK",1,"retained",146.4,521.7
"AK",1,"retained",146.6,521.9
"AK",1,"retained",146.8,522.1
"AK",1,"retained",147.1,522.5
"AK",1,"retained",147.4,522.8
"AK",1,"retained",147.4,523
"AK",1,"retained",147.6,523
"AK",1,"retained",147.6,523.2
"AK",1,"retained",147.8,523.3
"AK",1,"retained",147.9,523.6
"AK",1,"retained",148.1,523.5
"AK",1,"retained",148.6,523.7
"AK",1,"retained",148.8,523.7
"AK",1,"retained",149.1,523.8
"AK",1,"retained",149.2,523.9
"AK",1,"retained",149.4,523.9
"AK",1,"retained",149.6,524.1
"AK",1,"retained",149.5,524.4
"AK",1,"retained",149.6,524.6
"AK",1,"retained",149.8,525
"AK",1,"retained",149.8,525.1
"AK",1,"retained",149.7,525.6
"AK",1,"retained",149.5,526
"AK",1,"retained",149.1,526
"AK",1,"retained",147.2,526.6
"AK",1,"retained",147,526.1
"AK",1,"retained",147,525.9
"AK",1,"retained",146.8,525.6
"AK",1,"retained",146.8,525.3
"AK",1,"retained",146.6,525.1
"AK",1,"retained",146.5,525
"AK",1,"retained",146.4,525.2
