"position","beat","companion","chapter","title","topic"
1,"1 source",FALSE,"returns-source","What Election Returns Can and Cannot Show","Complete, official, and permanently silent about who did it"
2,"2 instrument",FALSE,"county-returns","Fifty-One Publishers, One Election","What it costs to assemble the file no agency publishes, and the half of the country where the answer changes"
3,"3 access",FALSE,"data-sources","County FIPS as a Join Key","One federal code, two files four years apart, and a join that never failed"
4,"4 use",FALSE,"levels-of-aggregation","Levels of Aggregation in Election Data","Which rung of the ladder answers which question"
5,"4 use",FALSE,"official-vs-ap","Two Publishers, One Election","Florida counted its 2026 primary once. Two organisations published the count, and they do not agree."
6,"4 use",FALSE,"electoral-map","Where Electoral Votes Are, and Where They Are Contested","Fifty-one rows, two inequalities, and the difference between where the votes are and where they matter"
7,"4 use",FALSE,"mapping","Mapping Votes Against Land Area","One election, three thousand counties, and the difference between coloring land and counting people"
8,"4 use",FALSE,"mid-decade","The Same Votes, Redrawn","Seventeen elections, thirty-eight districts, and a mid-decade map that never comes out behind"
9,"4 use",FALSE,"mid-decade-florida","The Same Votes, Redrawn: Florida","Thirteen elections, twenty-eight districts, and a mid-decade map that never comes out behind"
10,"4 use",FALSE,"wind-map","Mapping Vote Swing Between Elections","The election wind map, two pairs of elections, and what an arrow has to promise"
11,"4 use",TRUE,"sparklines","A Table That Is Also Fifty-One Charts","Every state's presidential vote since 1976, drawn small enough to read down a column"
12,"4 use",FALSE,"historical-campaigns","Presidential Returns Across 150 Years","A century and a half of presidential returns, and a statistic that returns to where it started without meaning the same thing"
13,"4 use",FALSE,"clerk-source","The Official Returns, Typeset","Congress publishes its own election results, and every property that makes the page readable is a place a parser can go wrong"
14,"4 use",FALSE,"house-competition","Uncontested House Races, 1946-2024","One name on the ballot, and the seventy years of House elections that made it ordinary"
15,"4 use",TRUE,"distributions","Distributions, and the Summaries That Hide Them","Four hundred House districts drawn four ways, and an average that describes almost nothing"
16,"4 use",FALSE,"crossover","How Much of 2024 Was Already Decided in 2020","One election against the next, one office against another, and the four states where the two answers disagreed"
17,"4 use",FALSE,"nationalization","One Election, Not Fifty","Nationalization measured in three records, and the count that hides two causes"
18,"4 use",FALSE,"neutral-maps","Five Thousand Maps Nobody Drew","What computer-drawn districts say about competition and race, and the one chamber that draws no lines at all"
19,"4 use",FALSE,"rosters-source","Who Held the Seat, and Who Won the Election","A roster is not a return, and the gap between them is 2,344 people"
20,"4 use",FALSE,"midterm-loss","The Midterm Penalty, 1858-2024","A very reliable rule, and what it still cannot tell you"
21,"4 use",FALSE,"retirements","Congressional Retirements Over Two Centuries","Two centuries of members leaving the House, and the one thing the record will not say"
22,"4 use",FALSE,"primary-defeats","Primary Defeats of House Incumbents","The election that is supposed to substitute for the one nobody contests"
23,"4 use",FALSE,"primary-positions","What Candidates Would Not Say","Fourteen issues, 1,662 candidates, and a code that means nobody mentioned it"
24,"4 use",FALSE,"nomination-anchors","The Dataset That Was Never Released","Fifty-five nominations, four tables, and a column that exists in none of them"
25,"4 use",FALSE,"nomination-rules","The Rule That Picks the Nominee","Ten elections, and a threshold you can find without reading a single statute"
26,"4 use",FALSE,"careers","How Long a Congressional Career Lasts","Two-thirds of the newest careers have not finished, and the arithmetic that counts them anyway"
27,"4 use",FALSE,"vote-targeting","The Arithmetic of Vote Targeting","North Carolina, and the assumptions inside the arithmetic"
28,"4 use",FALSE,"bellwether","Bellwether Counties, 1960-2024","Bellwethers, 1960–2024, and why a perfect record predicts nothing"
29,"4 use",FALSE,"whole-foods-cracker-barrel","Whole Foods vs. Cracker Barrel","A famous proxy, rebuilt from scratch: the metric reproduces, and then does not survive being asked about people"
30,"4 use",FALSE,"ga-precinct-returns","Georgia Precinct Returns and the 2020 Recount","Georgia's precinct returns, the vote-method columns, and what happens when a state counts the same ballots twice"
31,"4 use",FALSE,"precinct-geography","Comparing Precincts Across Two Elections","Precinct lines, and what it takes to compare one election with the next"
32,"4 use",FALSE,"cast-vote-records","Cast Vote Records and Ranked-Choice Counting","A congressional election recounted from the ballots, and what the ballots say about the campaigns"
33,"4 use",FALSE,"voter-files-source","What a Voter File Records, and Why","The only instrument that can tell you whether a survey is lying"
34,"4 use",FALSE,"voter-file-access","Public by Law, and You Still Cannot Have It","Fifty-one jurisdictions, one downloadable voter file, and the only instrument in this book that cannot be handed to you"
35,"4 use",FALSE,"voter-files","Reading a State Voter Registration File","A county's registration file, the codes that decide which ballot you are handed, and the three elections it has already forgotten"
36,"4 use",FALSE,"false-matches","Name-and-Birthdate Matching in Voter Purges","Two people who have never met, one match key, and a purge rule built on the assumption that such a thing cannot happen"
37,"4 use",FALSE,"disenfranchisement","Felony Disenfranchisement and the Voting-Eligible Population","Felony disenfranchisement, state by state, and a category that outlives the sentence"
38,"4 use",FALSE,"turnout-denominator","Two Denominators for Turnout","One numerator, two denominators, and a thirty-year decline that is not in the data"
39,"4 use",FALSE,"eavs","The Election Administration and Voting Survey","A survey the country's election offices fill in about themselves, and the empty box that decides who can be compared"
40,"4 use",FALSE,"residual-votes","Residual Votes and Ballot Design","A punch card from Palm Beach County, and the one subtraction no agency performs"
41,"4 use",FALSE,"seat-forecast","Forecasting the House","A working model of November 2026, and the one number in it that nobody measured"
42,"4 use",FALSE,"senate-2026","Thirty-Five Races, Rated in August","Commit to a Senate map now, and to a number you cannot revise in November"
43,"4 use",FALSE,"election-night","Baselines for Election-Night Forecasting","The 2026 Senate map, and how good a baseline has to be before it is useless"
