# Findings from check-contrast.js that have been read.
#
# NOT a list of things that are fine. It is a list of things looked at and
# deliberately left, which is a different claim. Fix one and delete its line.
#
# The key is the colour pair, not the words: slug + fill + background. A label
# can be reworded without un-reviewing the finding, but a new colour, or the
# same colour landing on a new background, is reported.
#
# Two kinds are recorded here, and they are not equally acceptable:
#
#   LIFTED   a token colour sitting on a mark. These are the residue of the
#            brief.css ink lift -- 599 such sites were repaired with .on-mark
#            and figure-scoped pins; these are what is left. They are a TODO,
#            not a decision. Several are a label colliding with a mark rather
#            than drawn on one, which wants a layout fix, not a colour.
#
#   DIM      a colour dim against its own background, as authored. Pre-existing,
#            and mostly a chapter's own scale with no dark counterpart.
#
# slug	fill	background	why it is still here
abortion-opinion	#2b5c8a	#101418	DIM: authored colour, dim on its own background; pre-existing
abortion-opinion	#a33b2a	#101418	DIM: authored colour, dim on its own background; pre-existing
age-structure	#1c4c5c	#101418	DIM: authored colour, dim on its own background; pre-existing
anes	#2b5c8a	#101418	DIM: authored colour, dim on its own background; pre-existing
anes	#a33b2a	#101418	DIM: authored colour, dim on its own background; pre-existing
areal-units	#1f5d8c	#101418	DIM: authored colour, dim on its own background; pre-existing
bisg-check	#12181d	#c41230	DIM: authored colour, dim on its own background; pre-existing
campaign-finance	#12181d	#000000	DIM: authored colour, dim on its own background; pre-existing
campaign-finance	#e3e8ea	#e2e2e2	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
campaign-visits	#54278f	#101418	DIM: authored colour, dim on its own background; pre-existing
campaign-visits	#76838c	#a8c6df	DIM: authored colour, dim on its own background; pre-existing
campaign-visits	#77848d	#54278f	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
careers	#1c4c5c	#101418	DIM: authored colour, dim on its own background; pre-existing
census-api	#54278f	#101418	DIM: authored colour, dim on its own background; pre-existing
census-geography	#4d9221	#4d9221	DIM: authored colour, dim on its own background; pre-existing
census-geography	#6fa8dc	#2c7fb8	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
census-geography	#e08214	#e08214	DIM: authored colour, dim on its own background; pre-existing
census-geography	#f4677f	#c41230	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
cost-of-voting	#e3e8ea	#9e9e9e	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
disenfranchisement	#76838c	#d6604d	DIM: authored colour, dim on its own background; pre-existing
disenfranchisement	#76838c	#f4a582	DIM: authored colour, dim on its own background; pre-existing
disenfranchisement	#76838c	#fddbc7	DIM: authored colour, dim on its own background; pre-existing
distributions	#1c4c5c	#101418	DIM: authored colour, dim on its own background; pre-existing
eavs	#54278f	#101418	DIM: authored colour, dim on its own background; pre-existing
eavs	#77848d	#d9d9d9	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
eavs	#c41230	#c41230	DIM: authored colour, dim on its own background; pre-existing
election-night	#aaaaaa	#ededed	DIM: authored colour, dim on its own background; pre-existing
electoral-map	#12181d	#b2182b	DIM: authored colour, dim on its own background; pre-existing
electoral-map	#12181d	#b31a2d	DIM: authored colour, dim on its own background; pre-existing
electoral-map	#12181d	#b41e31	DIM: authored colour, dim on its own background; pre-existing
electoral-map	#6a3d9a	#101418	DIM: authored colour, dim on its own background; pre-existing
electoral-map	#9ca9b2	#c41230	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
false-matches	#76838c	#c41230	DIM: authored colour, dim on its own background; pre-existing
false-matches	#9ca9b2	#c41230	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
gender-gap	#6a3d9a	#101418	DIM: authored colour, dim on its own background; pre-existing
gss-confidence	#762a83	#101418	DIM: authored colour, dim on its own background; pre-existing
ideology	#2b5c8a	#101418	DIM: authored colour, dim on its own background; pre-existing
ideology	#a33b2a	#101418	DIM: authored colour, dim on its own background; pre-existing
jury-selection	#444466	#101418	DIM: authored colour, dim on its own background; pre-existing
jury-selection	#55606c	#101418	DIM: authored colour, dim on its own background; pre-existing
