"from_2020","to_2024"
"COLUMBIA|JOURNEY COMM. CHURCH","COLUMBIA|JOURNEY COMM. CHURCH"
"COLUMBIA|GRACE BAPTIST CHURCH","COLUMBIA|GRACE BAPTIST CHURCH"
"COLUMBIA|GREENBRIER HIGH","COLUMBIA|GRACE BAPTIST CHURCH"
"COLUMBIA|RIVERVIEW CHURCH","COLUMBIA|JOURNEY COMM. CHURCH"
"COLUMBIA|WESLEY METHODIST","COLUMBIA|WESLEY METHODIST CHURCH"
"COLUMBIA|CHRIST CHURCH, PRESBYTERIAN","COLUMBIA|CHRIST CHURCH, PRESBYTERIAN"
"COLUMBIA|GOSPEL WATER BRANCH","COLUMBIA|GOSPEL WATER BRANCH BAPT. CHURCH"
"COLUMBIA|EUBANK/BLANCHARD CTR","COLUMBIA|EUBANK/BLANCHARD CTR"
"LINCOLN|TABERNACLE","LINCOLN|TABERNACLE"
"LINCOLN|MARTINS CROSSROAD","LINCOLN|MARTINS CROSSROAD"
"LINCOLN|MIDWAY","LINCOLN|MIDWAY"
"MCDUFFIE|132","MCDUFFIE|NORTH MCDUFFIE"
"LINCOLN|LINCOLN CLUB HOUSE","LINCOLN|LINCOLN CLUB HOUSE"
"LINCOLN|LINCOLN CENTER","LINCOLN|LINCOLN CENTER"
"LINCOLN|FAITH TEMPLE OF LINC","LINCOLN|FAITH TEMPLE OF LINC"
"RABUN|RABUN COUNTY","RABUN|RABUN COUNTY"
"TALIAFERRO|SHARON","TALIAFERRO|SHARON"
"GREENE|UNION POINT","GREENE|UNION POINT"
"TALIAFERRO|CRAWFORDVILLE","TALIAFERRO|CRAWFORDVILLE"
"GREENE|GREENSBORO","GREENE|GREENSBORO"
"OCONEE|ANTIOCH","OCONEE|COLHAM FERRY"
"OCONEE|COLHAM FERRY","OCONEE|COLHAM FERRY"
"CLARKE|1C","CLARKE|1C"
"BANKS|HOLLINGSWORTH","BANKS|HOLLINGSWORTH"
"BANKS|WASHINGTON","BANKS|WASHINGTON"
"BANKS|COLUMBIA","BANKS|COLUMBIA"
"BANKS|WILMONTS","BANKS|WILMONTS"
"MORGAN|2. EAST MORGAN","MORGAN|5.  BUCKHEAD"
"MORGAN|6. WEST MORGAN","MORGAN|2. CENTENNIAL"
"WALTON|GOOD HOPE","WALTON|GOOD HOPE"
"MORGAN|7. NORTH MORGAN","MORGAN|3.  GIBBS"
"NEWTON|ALCOVY","NEWTON|04-ALCOVY"
"NEWTON|BRICK STORE","NEWTON|07-BRICK STORE"
"UNION|IVY LOG","UNION|IVY LOG"
"UNION|GUMLOG","UNION|GUMLOG"
"UNION|BLAIRSVILLE","UNION|BLAIRSVILLE"
"NEWTON|COVINGTON MILLS","NEWTON|09-LIVINGSTON"
"FULTON|FA01B","FULTON|FA01B"
"FAYETTE|SANDY CREEK","FAYETTE|SANDY CREEK"
"FULTON|SC07C","FULTON|SC07C"
"NEWTON|BEAVERDAM","NEWTON|13-BEAVERDAM"
"NEWTON|CROWELL","NEWTON|20-STANSELLS"
"NEWTON|CEDAR SHOALS","NEWTON|20-STANSELLS"
"NEWTON|ALMON","NEWTON|20-STANSELLS"
"NEWTON|BUCK CREEK","NEWTON|19-BUCK CREEK"
"NEWTON|STANSELLS","NEWTON|02TOWN"
"ROCKDALE|FI","ROCKDALE|FI"
"NEWTON|FAIRVIEW","NEWTON|23-FAIRVIEW"
"ROCKDALE|FS","ROCKDALE|FS"
"FULTON|PA01","FULTON|PA01"
"NA|NA","FULTON|CH01B"
"FULTON|FA01D","FULTON|FA01D"
"FAYETTE|FIELDING RIDGE","FAYETTE|FIELDING RIDGE"
"FAYETTE|MCINTOSH","FAYETTE|MCINTOSH"
"GWINNETT|ROCKBRIDGE A","GWINNETT|ROCKBRIDGE A"
"GWINNETT|ROCKBRIDGE C","GWINNETT|ROCKBRIDGE C"
"ROCKDALE|MA","ROCKDALE|MA"
"ROCKDALE|SP","ROCKDALE|SP"
"ROCKDALE|ST","ROCKDALE|ST"
"ROCKDALE|BA","ROCKDALE|BA"
"ROCKDALE|HC","ROCKDALE|HC"
"ROCKDALE|SM","ROCKDALE|SM"
"ROCKDALE|RO","ROCKDALE|RO"
"GWINNETT|DULUTH H","GWINNETT|DULUTH H"
"FULTON|JC02","FULTON|JC02"
"FORSYTH|35 JOHNS CREEK","FORSYTH|35 JOHNS CREEK"
"HENRY|PLEASANT GROVE","HENRY|PLEASANT GROVE"
"ROCKDALE|LO","ROCKDALE|LO"
"DEKALB|FLAT ROCK ELEM","DEKALB|FLAT ROCK ELEM"
"DEKALB|CANDLER-MURPHEY CANDLER ELEM","DEKALB|CANDLER-MURPHEY CANDLER ELEM"
"CLAYTON|LOVEJOY 2","CLAYTON|LOVEJOY 2"
"CLAYTON|LOVEJOY 7","CLAYTON|LOVEJOY 7"
"CLAYTON|JONESBORO 5","CLAYTON|JONESBORO 5"
"CLAYTON|JONESBORO 14","CLAYTON|JONESBORO 14"
"CLAYTON|JONESBORO 18","CLAYTON|JONESBORO 18"
"CLAYTON|JONESBORO 11","CLAYTON|JONESBORO 22"
"CLAYTON|JONESBORO 7","CLAYTON|JONESBORO 7"
"CLAYTON|JONESBORO 6","CLAYTON|JONESBORO 6"
"SPALDING|14","SPALDING|14"
"SPALDING|21","SPALDING|21"
"HENRY|SHAKERAG","HENRY|SHAKERAG"
"DEKALB|OAK VIEW ELEM","DEKALB|OAK VIEW ELEM"
"DEKALB|NARVIE J HARRIS ELEM","DEKALB|NARVIE J HARRIS ELEM"
"DEKALB|FLAKES MILL FIRE STATION","DEKALB|FLAKES MILL"
"DEKALB|FLAT SHOALS PARKWAY","DEKALB|FLAT SHOALS PARKWAY"
"DEKALB|CHAPEL HILL ELEM","DEKALB|CHAPEL HILL ELEM"
"HENRY|SWAN LAKE","HENRY|SWAN LAKE"
"CLAYTON|JONESBORO 8","CLAYTON|JONESBORO 8"
"CLAYTON|MORROW 8","CLAYTON|MORROW 8"
"CLAYTON|MORROW 5","CLAYTON|MORROW 5"
"CLAYTON|MORROW 10","CLAYTON|MORROW 10"
"HENRY|STAGECOACH","HENRY|STAGECOACH"
"HENRY|LIGHTHOUSE","HENRY|LIGHTHOUSE"
