"key","value","note"
"n_total","60000","respondents in the 2024 common content"
"n_states","51","jurisdictions the respondents live in"
"n_twoparty","43749","who named one of the two major candidates"
"n_other","16251","who named somebody else, said they did not vote, or did not answer"
"nat_est","47.79","the CES estimate of the national two-party Democratic share"
"n_states_actual","51","states with a certified 2024 result in that file"
"nat_actual_unweighted_states","47.47","the mean of state shares, which is NOT the national vote and is not used"
"nat_actual","49.25","the certified national two-party Democratic share"
"nat_error","-1.46","points by which the CES national estimate misses it"
"n_states_graded","51","states with both a CES estimate and a certified result"
"n_min","68","respondents in the smallest state cell"
"state_min","Vermont","which state that is"
"n_max","3618","respondents in the largest"
"state_max","Texas","which state that is"
"n_ratio","53.2","how many times larger the largest cell is"
"moe_min","2.71","the narrowest state margin of error"
"moe_max","15.81","the widest"
"moe_max_state","Alaska","the state with the widest"
"moe_median","6.2","the median state's margin of error"
"deff_median","2.78","the median state's design effect, the factor by which weighting costs precision"
"err_median","2.49","the median state's absolute error against the certified result"
"err_max","19.41","the largest state error"
"err_max_state","North Dakota","where it happens"
"n_covered","45","states where the certified result falls inside the estimate's margin of error"
"pct_covered","88.2","as a percentage"
"expected_covered","48.4","how many states sampling error alone predicts would be covered"
"cor_n_moe","-0.75","correlation between a state's sample size and its margin of error"
"cor_n_err","-0.25","and between its sample size and how wrong it actually is"
