"position","cluster","cluster_name","type","doc","title","topic"
1,"I.1","The Census and Its Products","chapter","census-source","What a Census Can and Cannot Do","The one thing nothing else can do, and what it cost to keep doing it"
2,"I.1","The Census and Its Products","brief","census-access","How Many People Live in Allegheny County?","One question, a shelf of published answers, and how to say which one you mean"
3,"I.1","The Census and Its Products","brief","census-api","Using the Census Data API","Three ways into the Census Bureau, and what the catalog reveals about who the data is for"
4,"I.1","The Census and Its Products","brief","census-coverage","Who the Count Missed","The census grades itself, state by state, and mostly returns a blank"
5,"I.1","The Census and Its Products","brief","census-race","Hispanic Origin Is Not a Race on the Census Form","Two questions about one person on the 2020 census form, and the two boxes people use to answer neither"
6,"I.2","The Decennial Census","chapter","census-decennial","The Decennial Census","Seven questions asked once a decade, and the people it does not find"
7,"I.2","The Decennial Census","brief","apportionment","Apportionment: How a Count Becomes Seats","Why the Constitution orders a census, the six rules that turn it into seats, and what happens when the margin is smaller than the instrument"
8,"I.2","The Decennial Census","brief","regional-shift","Regional Population Shift and House Seats","Nobody proposed it, nobody voted on it, and no single decade announced it"
9,"I.2","The Decennial Census","brief","demographics","Measuring Race at Eight Geographic Scales","What the 2020 census says about race, at eight scales, and why only the smallest one describes anyone"
10,"I.2","The Decennial Census","brief","overplotting","When a Scatter Plot Has Too Many Points","Every populated census block in Georgia, and the 88% of them you cannot see"
11,"I.3","The American Community Survey","chapter","census-acs","The American Community Survey","Three windows onto the same country, one of them closed, and a margin beside every number that has one"
12,"I.3","The American Community Survey","brief","migration","Measuring Migration with ACS Flow Estimates","One question on an American survey form, the map it draws, and how much of that map is not there"
13,"I.3","The American Community Survey","brief","chord","Everybody Moved, Almost Nobody Left","A year of interstate migration drawn as a chord diagram, and the aggregation you have to perform before a circle will hold it"
14,"I.3","The American Community Survey","brief","section-203","Section 203 Language Coverage Determinations","Section 203 of the Voting Rights Act, and the survey that decides who gets a ballot they can read"
15,"I.4","Population Estimates","chapter","census-pep","The Population Estimates Program","The number you get when nobody counted, and the arithmetic that produces it"
16,"I.5","Census Geography","chapter","census-geography","Census Geography and Why Data Will Not Join","Why so much data will not join"
17,"I.5","Census Geography","brief","areal-units","The Modifiable Areal Unit Problem","One county's census blocks, and what moving the boxes does to the share"
18,"I.5","Census Geography","brief","zip-codes","What a ZIP Code Is, and What It Is Not","A routing key for mail trucks, and everything it gets asked to stand for"
