"position","beat","companion","chapter","title","topic"
1,"1 source",FALSE,"rollcalls-source","What the Roll Call Record Contains","Every vote since 1789, and no note of what most of them were about"
2,"2 instrument",FALSE,"dw-nominate","DW-NOMINATE and Congressional Polarization","A test the most popular explanation fails"
3,"2 instrument",FALSE,"scdb","Ideal Points from Supreme Court Agreement","Building an ideal-point score for the Supreme Court out of nothing but agreement"
4,"4 use",FALSE,"oral-argument","Counting Talk at the Supreme Court","Six defensible answers to who talks the most, and one number that turns out to be about a rule"
5,"4 use",FALSE,"officeholder-age","The Age of Members of Congress","The denominator that decides the answer"
6,"4 use",FALSE,"finance-source","Campaign Finance Disclosure Is Not an Audit","The only source in this book written by the people it is about"
7,"4 use",FALSE,"campaign-finance","Reading an FEC Candidate Filing","A quarterly filing to the Federal Election Commission, and the single letter beside each candidate's name"
8,"4 use",TRUE,"pie-radar","Two Charts That Hide Their Own Data","One FEC file, drawn as a pie and as a radar, and what each of those shapes does to it"
9,"4 use",FALSE,"independent-expenditures","Junk Filings in FEC Independent Expenditures","A junk filing in the federal record of political spending, and the difference between wrong and plausibly wrong"
10,"4 use",FALSE,"lobbying","Reading a Lobbying Disclosure Filing","A quarterly lobbying disclosure, and the two things the form was built not to record"
11,"4 use",FALSE,"media-attention","Wikipedia Pageviews as a Measure of Attention","A year of Wikipedia pageviews, and what a country looking something up does not tell you"
12,"4 use",FALSE,"media-ideology","Placing a News Outlet by Who Links to It","375,979 shared links, 184 news domains, and the one politician holding up the right-hand end of the scale"
13,"4 use",TRUE,"streamgraph","Twelve Series That Do Not Share a Scale","A year of reading drawn as a streamgraph and as a horizon chart, and what each one refuses to show"
14,"4 use",FALSE,"campaign-visits","Where Campaigns Travelled, and Where They Did Not","Eight months of one campaign's travel log, and the half of America that never appears in it"
15,"4 use",FALSE,"follower-counts","How Many People Follow a Member of Congress","Three platforms, one question, and three different Congresses"
16,"4 use",FALSE,"finance-network","Campaign Money as a Network","The FEC publishes edges, and leaves you to decide what the nodes are"
17,"4 use",TRUE,"rank-size","The Same Curve, Six Times","Surnames, counties, campaign money and readers, sorted largest to smallest — and how much of a distribution you have to throw away before it becomes a law"
