"race","state","district","party","candidate","anchor","anchor_form","anchor_form_source","anchored","motive","motive_cluster","coordination","coordination_form","faction","business_pac_usd","fits_framework","bolded","errata","tables_disagree"
"CA-31D","CA","31","D","Aguilar","DCCC","coordination","coordination, from table 5.2",TRUE,"win general election","voter interest",TRUE,"national party",NA,NA,"true","false","",FALSE
"IA-3D","IA","3","D","Appel","DCCC","coordination","coordination, from table 5.2",TRUE,"win general election","voter interest",TRUE,"national party",NA,NA,"true","false","",FALSE
"VA-10R","VA","10","R","Comstock","District party committee","coordination","coordination, from table 5.2",TRUE,"win general election","voter interest",TRUE,"local party","establishment (business-backed)",98222,"true","false","",FALSE
"NY-4D","NY","4","D","Rice","DCCC","coordination","coordination, from table 5.2",TRUE,"win general election","voter interest",TRUE,"national party",NA,NA,"true","false","",FALSE
"IA-3R","IA","3","R","Young","Party convention","coordination","coordination, from table 5.2",TRUE,"win general election","voter interest",TRUE,"party convention","establishment (party-backed)",33391,"true","false","",FALSE
"NY-4R","NY","4","R","Blakeman","County committees","coordination","coordination, from table 5.2",TRUE,"control local government","party interest",TRUE,"local party","establishment (party-backed)",1500,"true","false","",FALSE
"NJ-3R","NJ","3","R","MacArthur","County committees","coordination","coordination, from table 5.2",TRUE,"control local government","party interest",TRUE,"local party","establishment (party-backed)",5000,"true","false","",FALSE
"PA-6R","PA","6","R","Costello","County committees","coordination","coordination, from table 5.2",TRUE,"ambiguous party case","unclear",TRUE,"local party","establishment (business-backed)",138100,"true","false","",FALSE
"NY-21R","NY","21","R","Stefanik","County committees","coordination","coordination, from table 5.2",TRUE,"ambiguous party case","unclear",TRUE,"local party","establishment (party-backed)",37500,"true","false","",FALSE
"NY-21D","NY","21","D","Woolf","County committees","coordination","coordination, from table 5.2",TRUE,"ambiguous party case","unclear",TRUE,"local party",NA,NA,"true","false","",FALSE
"FL-13R","FL","13","R","Jolly","IPO","coordination","coordination, from table 5.2",TRUE,"district interest","party interest",TRUE,"informal party organization","establishment (party-backed)",15500,"true","false","table 9.1c prints FL-19 for Jolly; Jolly won FL-13",FALSE
"CA-25R","CA","25","R","Knight","IPO","coordination","coordination, from table 5.2",TRUE,"district interest","party interest",TRUE,"informal party organization","establishment (party-backed)",0,"true","false","",FALSE
