"check","value"
"P1 and P2 publish the same total for every county",TRUE
"P3 and P4 publish the same 18-and-over total for every county",TRUE
"the two populations in one file are not the same number",TRUE
"the one-year file covers far fewer counties than the five-year",TRUE
"there is no 2020 one-year file to fetch",TRUE
"no reference date keeps the same value across vintages",TRUE
"the revision table on disk holds every county, not a top-N",TRUE
"for most counties the published value for one date did move",TRUE
"the estimates base is not identical to the published count",TRUE
"the one-year survey figure is the estimates figure, bar one county",TRUE
"...which holds in every year, not just the newest",TRUE
"the five-year figure matches no published estimates year",TRUE
"the catalog has fewer distinct values than rows",TRUE
"...and the repeats are the survey/estimates pairs, nothing else",TRUE
"every figure in the catalog came from a fetched file",TRUE
"the later a figure refers to, the smaller it is",TRUE
"the national table on disk holds every county, not a top-N",TRUE
"agreement across products is rare, not the rule",TRUE
"the API's newest county estimates vintage is older than the newest file",TRUE
"the 2020 gap in the one-year survey shows up in the API catalog as well",TRUE
