"question","level","fit","label"
"second choices on a ballot","ballot",2,"the right rung"
"vote method by candidate","ballot",2,"the right rung"
"racially polarized voting","ballot",1,"with care"
"neighbourhood swing","ballot",1,"with care"
"ballot rejection rates","ballot",-1,"impossible"
"seats from votes","ballot",0,"wrong rung"
"who won the presidency","ballot",0,"wrong rung"
"national trend since 1864","ballot",-1,"impossible"
"second choices on a ballot","precinct",-1,"impossible"
"vote method by candidate","precinct",1,"with care"
"racially polarized voting","precinct",2,"the right rung"
"neighbourhood swing","precinct",2,"the right rung"
"ballot rejection rates","precinct",0,"wrong rung"
"seats from votes","precinct",1,"with care"
"who won the presidency","precinct",0,"wrong rung"
"national trend since 1864","precinct",-1,"impossible"
"second choices on a ballot","jurisdiction",-1,"impossible"
"vote method by candidate","jurisdiction",-1,"impossible"
"racially polarized voting","jurisdiction",0,"wrong rung"
"neighbourhood swing","jurisdiction",0,"wrong rung"
"ballot rejection rates","jurisdiction",2,"the right rung"
"seats from votes","jurisdiction",0,"wrong rung"
"who won the presidency","jurisdiction",0,"wrong rung"
"national trend since 1864","jurisdiction",-1,"impossible"
"second choices on a ballot","county",-1,"impossible"
"vote method by candidate","county",-1,"impossible"
"racially polarized voting","county",1,"with care"
"neighbourhood swing","county",1,"with care"
"ballot rejection rates","county",1,"with care"
"seats from votes","county",0,"wrong rung"
"who won the presidency","county",0,"wrong rung"
"national trend since 1864","county",0,"wrong rung"
"second choices on a ballot","district",-1,"impossible"
"vote method by candidate","district",-1,"impossible"
"racially polarized voting","district",0,"wrong rung"
"neighbourhood swing","district",0,"wrong rung"
"ballot rejection rates","district",0,"wrong rung"
"seats from votes","district",2,"the right rung"
"who won the presidency","district",0,"wrong rung"
"national trend since 1864","district",0,"wrong rung"
"second choices on a ballot","state",-1,"impossible"
"vote method by candidate","state",-1,"impossible"
"racially polarized voting","state",0,"wrong rung"
"neighbourhood swing","state",0,"wrong rung"
"ballot rejection rates","state",1,"with care"
"seats from votes","state",1,"with care"
"who won the presidency","state",2,"the right rung"
"national trend since 1864","state",1,"with care"
"second choices on a ballot","nation",-1,"impossible"
"vote method by candidate","nation",-1,"impossible"
"racially polarized voting","nation",-1,"impossible"
"neighbourhood swing","nation",-1,"impossible"
"ballot rejection rates","nation",1,"with care"
"seats from votes","nation",0,"wrong rung"
"who won the presidency","nation",0,"wrong rung"
"national trend since 1864","nation",2,"the right rung"
