"check","value"
"Rosters described","3"
"Chapters read, none of them downloaded","4"
"Congresses in the membership series","118"
"People who have served in the House","40,432"
"Seats that have existed to serve in","38,088"
"Excess of people over seats","2,344"
"Excess as a share of seats, %","6.2"
"Mid-Congress arrivals (identical to the excess, by construction)","2,344"
"Seats emptied by a death in office","744"
"Worst single Congress: members","199"
"Worst single Congress: seats","140"
"Worst single Congress: which, and when","14th (1815)"
"Congresses in the modern exit file","10"
"Departures in that file","790"
"Departures a voter decided","283"
"Departures no voter decided","507"
"Share no voter decided, %","64.2"
"Careers in the career file","13,320"
"Careers that are not one continuous interval","1,175"
"Columns in the party-divisions series carrying a vote total","0"
"Incumbent-primary rows available for matching","3,936"
