"check","value"
"Records described","3"
"Chapters read, none of them downloaded","3"
"Stops in the policing file","905,070"
"Published denominators available for the same stops","3"
"Smallest disparity ratio, and its denominator","3.07x (residents)"
"Largest disparity ratio, and its denominator","4.79x (drives to work)"
"Spread between them, as a multiple of the smallest","1.56x"
"Hit rate, White drivers searched, %","24.2"
"Hit rate, Black drivers searched, %","9.2"
"Jurors the state found eligible, Black","1,811"
"Jurors the state found eligible, White","3,318"
"Trials in the jury file","211"
"Strike rates recomputed from struck/eligible, max disagreement with printed, pts","0.01"
"Cities in the redlining file","33"
"Pooled A-to-D gap, points","8.6"
"Median within-city A-to-D gap, points","11.4"
"Cities in which the gap reverses","6"
