"group","rows","chamber","y1992","y2007","y2015","n"
"African Americans","Southern states","State House",15.3,18.4,19.9,NA
"African Americans","Southern states","State Senate",14.2,16.8,17.8,NA
"African Americans","Southern states","U.S. House",13.6,13.7,13.8,NA
"African Americans","Non-southern states >10% Black","State House",11.5,13.9,15.1,NA
"African Americans","Non-southern states >10% Black","State Senate",10.2,13.8,13.4,NA
"African Americans","Non-southern states >10% Black","U.S. House",12.8,13.4,16.3,NA
"African Americans","U.S. House","U.S. House",8.7,9.4,10.1,435
"Latinos","States >10% Latino","State House",10.3,15.2,17.2,NA
"Latinos","States >10% Latino","State Senate",9.8,13,14.2,NA
"Latinos","States >10% Latino","U.S. House",9.1,13,14.8,NA
"Latinos","U.S. House","U.S. House",3.9,5.7,7.1,435
