name,former_government_position
CLAY WHITE,"Chief of Staff, Leg Director - Congressman Chris Stewart; Leg Director, Leg Asst - Congressman Jason Chaffetz"
JOSH RILEY,
JAMES BARKER,
RYAN LEAVITT,Sen. Josh Hawley - Legislative Director
MICHELLE RUTTER FRIBERG,Director of Government Relations
LUKE ALBEE,"Chief of Staff, Senator Leahy; Chief of Staff, Mark Warner; Staff, Governor Dukakis."
KATHLEEN ALCORN,
BOGUSLAW WOZNIAK,
MICHAEL ALWOOD,
RICHARD MCAULIFFE,
JEFFREY TAYLOR,
MURRAY LIEBMAN,
JEFFREY GREV,Vice President of Legislative Affairs
TIMOTHY BROMELKAMP,
MAURA KEEFE,"Chief of Staff, Senator Shaheen -- 2009-2019, Chief of Staff, Rosa DeLauro 1997-2000; press secretary, Rosa DeLauro 1993-1996"
DANA SINGISER,"Special Assistant to the President, The White House; Staff Director, Senate Democratic Steering and Outreach Committee"
LILIANA CORONADO,"Counsel, House Judiciary Committee, 2010-2011"
JANET MARCHIBRODA,
BRUCE MORRISON,
PAUL DONNELLY,
ROBIN STOMBLER,
SCOTT OLSON,
NORMAN CAROSELLA,
BRET STROGEN,"Special Assistant for Energy and Sustainability -- Office of the Assistant Secretary of the Army for Installations, Energy, and Environment"
STEVEN BRINK,Vice President - Public Resources
STUART CHEMTOB,Principal
GEORGE HARRIS,
TIMOTHY HANNEGAN,U.S. General Accounting Office
JAY SULZMANN,"Legislative Director/Health Policy Advisor, Sen. Johnny Isakson; Sr. Policy Advisor/LA/LC/SA, Rep. Wally Herger"
JERR ROSENBAUM,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode"
DANIELLA LANDAU,
CHRISTINA MCGARRY DAVID,"Legislative Assistant / Scheduler, Rep. Mario Diaz-Balart; Intern, Rep. Doc Hastings"
TIMOTHY HANNEGAN,U.S. General Accounting Office
JERR ROSENBAUM,"Legislative Director, Senator John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode"
DOUGLAS HARPEL,
ALEXANDER SILBEY,"Senior Policy Advisor, office of the House Majority Whip"
DANIEL MUROFF,"Special Assistant, Congressman Joe Hoeffel (PA-13)"
PHILIP KLEIN,consultant
ELENA ROCHA,"Staff, Dept of Educ"
KATHLEEN ADAMSON,"former LD, Rep. Bernie Sanders"
SAMUEL CHASIN,
BRANDY TOMHAVE,
JEFF LANDE,
ROB BLACKWELL,"Special Assistant, U.S. Rep. Joe Schwarz (MI-07) 2005-2006"
STEPHEN HOFMANN,
CHASE MOSELEY,
WENDY DARWELL,
SHELLEY LANDRY,Regional Representative Rep. Walter Minnick
MICHAEL STRACHN,"Deputy Chief of Staff, House T&I Committee"
ROBERT MOSS,Partner
DAVID GASSON,Partner
ANDREW HASEK,"Government Affairs Manager, HNI Corp."
ALEXIS HILBERT,
CHRISTOPHER BEATTY,Head of Government Relations and Public Affairs
DARAKA SATCHER,"Deputy Assistant Secretary, US Department of Commerce Legislative Director/Chief of Staff, US House of Representatives"
ROGER SZEMRAJ,House Approps Comm; CoS Rep. Marcy Kaptur
IRA GOLDMAN,
GLENN RUSHING,
DARREN PETERS,
THOMAS MEDAGLIA,
THOMAS MEDAGLIA,
BARNEY SKLADANY,
CHRISTOPHER BURROUGHS,
ANNE REINKE,
TRAVIS CREED,
DORA MCCANN,
BERT STEELE,
GEORGE DENISON,
DAN CARTER,
ASHLEY MCFARLAND,
SCOTT HEISEL,
COREY ERSHOW,
STEPHEN HATEZ,
JOHN MCGLEW,"Senior Director, Government Affairs"
KATHERINE PHAM,"Senior Director, Policy and Professional Affairs"
BARRY STRUMPF,
MARYANNE DEMARCO,
LARRY ROONEY,
BOB BROWN,
JOT CARPENTER,
JENNIFER BENGTSON,
ROBERT CARLSTROM,
ANDREW MANGIONE,
BILL CARSON,
NICHOLAS ARAMINO,
JOHN WHELAN,
MAUREEN ONEILL,"Senate Committee on Veterans Affairs, Senate Budget Committee"
ROBERT ROYER,
PATRICK NEELY,
SCOTT RAVIN,
JEFFREY P MAHONEY,General Counsel
MEREDITH GUENTHER,
RON OBER,
ANDREW JACOBS,
TODD BAUGHMAN,
JIM MULLEN,
BRITTON CLARKE,Deputy Chief of Staff and press secretary for Congressman Henry Brown (SC-1) from 2001- 2002
PAUL SENSEMAN,
JAMES GLASSMAN,
SHELDON HARRIS,
AVA SMITHING,
ASHLEY CONEFF,
MICHAEL VANAKI,
ELIZABETH SHARP,
NICHOLAS PYLE,
MARSHALL BRACHMAN,
JOSEPH KING,Deputy Chief of Staff Congressman Mark Meadows Senior Advisor Dr. Greg Murphy
BRETT TOLMAN,
TRAVIS LUMPKIN,
JAMES HAYES,Former member of congress 1987 to 1997
CARLY KATZ,
MICHAEL CALLAHAN,
MICHAEL BOBER,
ROBERT LIKINS,
ASHLEY BRINKMAN,
ALYSSA MILLER,
JUDY SULLIVAN,Washington Representative
JOAN GALVIN,
KARL VAN DEUSEN,DoD Legislative Fellow to Rep C.W. Bill Young
KARL VAN DEUSEN,
KIRSTEN CHRISTOPHERSON BAILEY,
JOEY WILEY,
MICHAEL MOLLNER,
LAWRENCE MARKLEY,
LANCE LANDRY,
ROBERT HAWKINS,
GEOFF DAVIS,former Member of Congress.
TOM BRADLEY,"Unit Chief, Congressional Budget Office"
KEVIN COCHIE,
JODY HOFFMAN,
JENNIFER CUPP,
KYLE CHRISTIAN,
JOSHUA CARON,
ANTHONY ABRON,
MICHAEL FINE,
LOWELL RANDEL,
KERRI MARBUT,
LOWELL RANDEL,
PHILIP KARSTING,"Administrator, Foreign Agricultural Service; CoS of Sen. Herb Kohl"
BEN DASH,
MARK TINER,
TOMMIE CARDIN,
KELLI HYKES,
DANEA KEHOE,
JOHN SCHOENECKER,
PATRICK FOLEY,
BARRY RHOADS,
CHARLES SYDNOR,
SHANE DOUCET,Former Legislative Assistant to Rep. Chris John
SARAH YOUNG GLACKIN,"Professional Staff Member for the House Appropriations Committee, Subcommittees on Defense, Interior, Military Quality of Life and Military Construction and VA"
JAMES SAULS,
PATRICK VANMETER,
CHARLES BRITTINGHAM,
JONATHAN MILLER,
REBECCA ROBERTSON,
PAUL SASS,"Staff Director, House Committee on Transportation and Infrastructure; Deputy Staff Director, House Committee on Small Business; Congressman Sam Graves - Chief of Staff, Legislative Director, Legislative Assistant"
KATHLEEN LEONARD,
MARCEL VAN ROBAEYS,
JOHN DEARBORN,
ZAKIR BAIG,
JORDAN BERNSTEIN,
HAWLEY STANTON,"Legislative Aide, Legislative Correspondent, Staff Assistant to Representative Robert Latta"
TERRY PAUL,
VERNON SIMMONS,
ROBERT LEVI,
BOB HOLMES,
ANA MA,"Chief of Staff, Department of Labor"
MOLLY (AKA MARY) GRIFFIN,
JOEL WHITE,"Former Staff Director, Ways & Means Health Subcommittee; L.A. for Rep. Jim Greenwood; L.A. for Rep. Chris Shays"
SLOANE SALZBURG,"Health Policy Fellowship, Rep. Phil Gingrey"
EDWARD O'MALLEY,"Deputy Assistant Secretary & others, US Department of Transportation (2002-2007)"
JOHN WEBB,
BRIAN BENNETT,
DUANE MUSSER,
TERESA DORN,"Executive Legislative Assistant - Rep. Claudia Tenney, Deputy Chief of Staff - Rep. Reid Ribble, Executive Assistant - House Committee on the Budget, Scheduler/Office Manager - Rep. Jim Gibbons, Intern - Sen. Sam Brownback"
DEBORAH MAZOL,"Chief of Staff - Rep. Andy Biggs, Legislative Director - Rep. Reid Ribble, Legislative Assistant - Senator Ron Johnson, Staff Assistant - Rep. Jim Sensenbrenner, Intern - House Select Committee on Energy Independence and Global Warming"
RICHARD GANNON,
BENJAMIN GHIANO,
MICHAEL TORPEY,
MICHELLE GREENE,
SUSANN EDWARDS,
ANDREW FORBES,
GARY SLAIMAN,
MARTIN HETTEL,VP Government Affairs
STEPHEN COLOVAS,
KAI ANDERSON,
JULIE EDDY ROKALA,
MIKE WILLIAMS,
JENNIFER STEWART,
EBONY SIMPSON,
JONATHAN JACKSON,
SAM GEDULDIG,
JOHN STIPICEVIC,
LATRICE POWELL,
KICHELLE WEBSTER,
BARBARA SUTTON,
RUSSELL THOMASSON,
PHILIP GOGLAS,Legislative Consultant
KIRA FLAHERTY,Legislative Consultant
JOHN FALARDEAU,Sr. Vice President
KEVIN BINGER,
DONNA DENISON,
JAKE JOHNSTON,"Legislative Director, Rep. Jay Inslee"
RON MCMURRAY,Consultant
VIRGILIO BARRERA,
JONATHAN YAROWSKY,GCHouse Jud. Com. 82-95; SAC Pres 95-98
TRAVIS JOHNSON,
RON MCMURRAY,Consultant
FAISAL HASAN,
NIKESH PATEL,
MICHAEL OSCAR,"From 2002-2010, I served on the staff of the former U.S. Senator Arlen Specter."
ANNE ROOME,
SYLVESTER GIUSTINO,
MICHAEL COOPER COOPER,
ANGELA MCCARTER,President
SHANNON ROSS,
KELLY READ,
ROBERT HACKMAN,
ROBERT TAYLOR,
MATTHEW LAROCCO,
BLAIR ABELLE-KISER,
ANDREW KING,
MIKE WASSENAAR,
DANE CHRISTIANSEN,Legislative Consultant
DYLAN MOSKOWITZ,Legislative Consultant /Washington Representative
CHRIS KATOPIS,"Senior Legal Advisor, USPTO, DoC; Director of Congressional Relations, USPTO; House Judiciary Committee Counsel."
ANDREW SCHWAB,
JOHN MAGILL,COS to Rep. Wally Herger
MAHITO MORIYAMA,
RACHEL GRABER,
JOHN DEMURO,
W WILSON,
GARY GALLANT,
RYAN THOMPSON,
MCKENZIE BOBBITT,
REYAHD KAZMI,
BRADY EDHOLM,
ALAN BEARD,
KRISTY PARK,
MARK FOLEY,US House 16th District Florida 1995-2006
RICHARD HOHLT,
DAVID THOMPSON,
TIM DELANEY,
TIFFANY CARTER,
JESSICA MENDIETA,
DANIELLE CUTRONA,
BRIGID SHEA,
DAVID WEINREICH,
SETH BLOOM,"General Counsel, Senate Antitrust Subcommittee"
KIP KNUDSON,
FLOYD DESCHAMPS,
RYAN MULVENON,
JENNIFER BERNSTEIN,Legislative Assistant for Rep. Greenwood
CHARLES NUCKOLLS,
COLTON HENNING,
DEVIN BARRETT,
PETER UMHOFER,
SAMANTHA SWING,
PAUL FEENSTRA,
SCOTT VAN BUSKIRK,
ANNE BASHAM,
LAURA HASSAN,
CHRISTINE SEQUENZIA,Government Relations Professional (Ascend)
MELISSA SALADONIS,
RYAN WESTON,
JENNIFER CERVANTES,
GERALD MASOUDI,
EMMA MERRILL-GRUBB,
LISA LEVINE UROVITCH,Government Relations Director
CHELSEA AQUINO-FENSTERMAKER,Government Relations Associate Director
MOSHE SCHWARTZ,
JAMES EDWARDS,"LD, Rep. Ed Bryant; LA/Press Secretary, Rep. John Duncan; Special Assistant, Senate Judiciary Committee"
WILLIAM STONE,"Chief of Staff, Dave Obey: House Appropriations Committee"
CHRISTOPHER CZARNECKI,
ROBERT ROZEN,
CRAIG JEFFRIES,
ALAN MACLEOD,"Former Chief of Staff, Rep. Ron Kind"
JOHN WEINFURTER,"Former Chief of Staff, US Rep John Joseph Moakley"
MICHAEL RALSKY,
KYLE CHASE,Director of Government Affairs
JENNIFER MAGGIORE,Executive Director
TAMARA BROWNE,
ROGER SCHAGRIN,
ROY THOMPSON,
STEVEN ABBOTT,
NICOLAS MUZIN,"Chief of Staff, Congressman Tim Scott (2011-2012) Director of Coalitions, House Republican Conference (2013-2014) Deputy Chief of Staff, Senator Ted Cruz (2014-2016)"
MEGAN DAPPER,
AMELIA JENKINS,
STEVE HOLMER,
EDWARD KERN,
STEVEN RILEY,
JENNIFER CIPOLLETTI,
ANNE CHESTER,
WILLIAM FADELY,
DANIEL BOSTON,"Health Policy Director, House Energy & Commerce; Deputy Chief of Staff & Spokesperson for Congresswoman Sue Kelly; Policy Advisory &Communications Director for Congressman Joe Knollenberg; Communications Advisor for Senator Mitch McConnell"
KEITH SNIDER,
GAYLE GERDES,Legislative Correspondent: Senator Timothy Hutchison; Legislative Assistant: Congressman Chris John; Intern: Congressman Jim McCrery and Congressman Cleo Fields
CYNTHIA OLIVER,
ELIZABETH LEE,
REID STUNTZ,
JOSHUA LAMEL,
ASHLEY WIELAND,
MATTHEW GINSBERG,
MICHAEL MCGONAGLE,
JASON POBLETE,Rep. Bill Thomas; Committee on House Administration
MAURICIO TAMARGO,Foreign Claims Settlement Commission; Rep. I. Ros-Lehtinen
BRIAN KNAPP,
RICHARD EICHSTAEDT,
FRANCES ESKIN-ROYER,
CALLAN SMITH,
CHRIS FETZER,
ANDREW SHAW,
LINDA WILLARD,
MAX HERNANDEZ-ZAPATA,
ROBERT MCGOWAN,Former CDC Chief of Staff
AMANDA CAMPBELL,Former CDC Deputy Chief of Staff
MARGARET MCKNEELY,
VALERIE BYNOG,
NANCY CONNEELY,
MONICA KONATE,
NELSON GARCIA,
JESSICA TOCCO,Confidential Assistant to Commerce Sec. Gutierrez
BRIDGID CHANDLER,
CHRISTINE CALLAHAN,
LINDSAY PLETCH,
DEANNA DEVENEY,
BRETT FEDDERSEN,
SHANNON PATCH,
JON BERNSTEIN,
SUZANNE ROHDE,"Counsel, U.S. House of Reps, T&I Committee; Assistant Administrator, RSPA/USDOT; Policy Assistant, USDOT; Chief Counsel, FMCSA/USDOT; Special Assistant, NTSB"
MICHAEL DANIELS,
VINCENT LEVIEN,
MARIA VEKLICH,
CALLIE FUSELIER,
ELAINE HILLGROVE,
DAVID KOLBE,
MELVIN KEENER,
EMILY JACOBS,"Legislative Aide, Office of Congressman Mario Diaz-Balert"
JORDAN COOPER,
JEFFREY DENHAM,s
MATTHEW CUTTS,
SAMUEL OLENS,
GARY GOLDBERG,
MARCIE MCSWANE,
ISRAEL TORRES,
BRIAN MUNROE,
MICHAEL NARDELLI,Special Assistant to Congressman John Tierney Special Assistant to Congressman Ron Klink
TIMOTHY RUTTEN,
JOHN KERN,
MICHAEL LEWAN,Senior Advisor - Senator Joe Lieberman
AARON OESTERLE,
PHILIP CRONIN,
CAITLIN BERNI,Scheduler and Legislative Assistant - Congressman Steve Scalise (LA) 2008-2010
PHILIP BLALOCK,
SCOTT LAVENDER,
LESLIE POLLNER,
LISA BARKOVIC,
CHRISTOPHER DELACY,
EVE MALDONADO-O'TOOLE,
JOE O'BRIEN,"Intern, House Speaker Nancy Pelosi; Intern, Rep. Scott Peters; Intern, Rep. Linda Sanchez"
LAURI HETTINGER,
ADRIANNA WILLIAMS,
MANU MALHOTRA,
DAVID MYERS,
SHANNON BENTON,
MICHAEL FRIEDBERG,
DANIEL SENNOTT,"Minority Staff Director, House Armed Services Cmte.; Minority General Counsel, House Armed Services Cmte.; Professional Staff Member, Staff Lead and Counsel, Military Personnel Subcmte., House Armed Services Cmte."
CHRISTOPHER ARMSTRONG,"Attorney, Office of Special Counsel; Investigative Counsel, Senate Finance Committee; Oversight Counsel, House Ways and Means Committee; Chief Oversight Counsel, Senate Finance Committee"
CHRISTINA MEYER-GARFINKLE,
MISHA LEHRER,
JESSICA OLSON,
SIMON COON,
KIRK CLINKENBEARD,
DENNIS POTTER,
PETER REINECKE,"Chief of Staff, Legislative Director, Sr. Advisor, Sen. Tom Harkin"
THOMAS DAVIS,
JIM DAVIS,
CHARLES SAMUELS,
MICHAEL GALANO,
KARL KOCH,"Chief of Staff, Rep. Jim Davis"
RICHARD GOLD,
ROBERT WASINGER,
PAUL REAGAN,"Chief of Staff, Congressman Jim Moran; Chief of Staff, Senator Jim Webb"
MICHAEL ANDREWS,
CLAYTON COX,
ERIN BARRY,"VP, Government Affairs"
SHAWNA FRANCIS WATLEY,
MIRANDA FRANCO,
PHILIP BAKER-SHENK,
ROBERT BRADNER,
COLE GINTHER,
MICAH BURBANKS-IVEY,
ASHLEY LAWRENCE,
SCOTT BINKLEY,Legislative Correspondent for House Budget Chairman Congressman Tom Price (GA-6 former)
EAPEN THAMPY,
ROBIN WEISMAN,
LAUREN MADDOX,
SCOTT MASON,
DANIEL HARTNETT,"Legislative Assistant, Rep. Rob Simmons"
BEBE SCHAEFER,"Intern, Sen. Gary Peters"
MOLLY BROUGHTON,"Intern, Rep. Lloyd Doggett"
THEODORE MONOSON,
THOMAS KIM,
LISA HAWKE,
ABIGAIL HEMENWAY,"Staff Assistant, Senate Committee on Energy & Natural Resources; Staff Assistant, Legislative Correspondent, Legislative Aide, Sen. Lisa Murkowski"
PARKER REYNOLDS,"Staff Assistant, Rep. Martha Roby; Staff Assistant, House Republican Conference; Legislative Aide, Senior Legislative Assistant, Rep. Liz Cheney"
ED PERLMUTTER,"Member, U.S. House of Representatives"
ALISON WRIGHT,
ROBERT POWELL,"Field Representative 2010-2011, Rep. Tom Cole"
ALLEN WRIGHT,"Field Representative, Sen. James Lankford 2015-2021"
MICHAEL KESTI,
DOUGLAS DENNENY,'99-'00 Navy Legislative Fellow for Senator John McCain
JOHN SAWYER,"Legislative Assistant, Rep. Sherrod Brown (D-OH), 2003-2005"
MELANIE NATHANSON,
MEGAN MARSHALL,
FRANK DONATELLI,
SCOTT STONE,
PAUL STIMERS,
SEAN MCGLYNN,
ISABELLA LINDEN,"Intern, Senate Select Committee on Intelligence"
DANIEL RITTER,
TODD WOOTEN,
GREGORY LOUER,
ELIZABETH LAVACH,
MARISSA SERAFINO,
ELIZABETH CRADDOCK,
NICHOLAS LEIBHAM,
NICOLE ELLIOTT,
JOSHUA ODINTZ,
KATHY METCALF,
BETH VIOLA,
KATHERINE SPEECE,
TAITE MCDONALD,
ELIZABETH NOLL,
REBECCA SEREBOFF,
ALAN REUTHER,
CHASE GERMANN,
KAYLA GEBECK,
KENNETH PARSONS,
JAMES MEGGESTO,
PAUL MORINVILLE,
SAMIR KAPADIA,"Former Government Relations Staffer, The Heritage Foundation"
ALEXANDER VOGEL,"Former Chief Counsel, Senate Majority Leader Bill Frist"
NIKHIL DHINGRA,"Intern, House of Representatives"
ALI KHIMJI,
STEPHEN BORG,Deputy Chief of Staff - Representative Timothy V. Johnson
ISABELLE DRAYER,
SARAH STARLING CROSSAN,
KEVIN RICHARDSON,
RONALD KLEIN,
DIMITRIOS KARAKITSOS,
ANDREW NEHRING,
TANYA DAS,
STEVEN WINBERG,"Former Under Secretary of Energy (Acting), U.S. Department of Energy; Former Assistant Secretary of Energy for Fossil Energy, U.S. Department of Energy"
KENNETH HUMPHREYS,"Former Principal Deputy Assistant Secretary for Fossil Energy, U.S. Department of Energy; Former Senior Advisor, U.S. Department of Energy"
WILLIAM MCGINLEY,Former Deputy Assistant to the President and Cabinet Secretary; Assistant to the President & Cabinet Secretary
BOBBY CUNNINGHAM,
THOMAS WHARTON,"Legislative Assistant, Senator Lieberman. May 2011-June 2012 Senior Legislative Assistant, Representative Dan Boren July 2008-June 2011"
MATTHEW KEELEN,
ALLISON SMITH,
STEVEN BECKER,
SUSAN ZOOK,"Legislative Assistant, Senator Mike Crapo"
DANIEL HALEY,
THOMAS SHEEHY,U.S. House of Representatives committee staff director
KATHERINE OH,
DAVID MONTI,
DEIRDRE FINN,
BALTAZAR SERNA,
TODD WILLENS,Chief of Staff - DOI; Assoc Dep Sec - DOI; DASFWP - DOI; Professional Staff - HNR
EDDY PAULEY,
YONG CHOE,"Director, Business Outreach and Member Services, Republican Study Committee Legislative Clerk, House Energy and Commerce Committee"
MICHAEL MCKENNA,
MELISSA HAMPE,
SHERAWN BISSEN,
NATHAN TAYLOR,
HEIDI ECKER,
KEVIN NICHOLSON,
STEVEN ANDERSON,
WILLIAM TIGHE,
CHRISTIE BOUTTE,
CHRISTOPHER KRESE,
SARA ROSZAK,
KAYLA MCFEELY,
WHITNEY JONES,
KATE ILAHI,
DOUG SCHWARTZ,
JOSEPH DONOVAN,
CATHY SCHUCHART,
HUGH MURPHY,Deputy Director of Government Affairs
CHAD GRANT,
RHONDA GRANT,
CHRISTOPHER HALL,
JAMES RILEY,
JON WADSWORTH,
MATT SMITH,Sen Dan Coates/ EOP/ Dept. of VA
ADNAN JALIL,
REBECCA CAIRNS,
JAKE JACOBY,President and CEO
ROBERT WEHAGEN,Vice President of Government Relations
RYAN SNYDER,Director of Government Relations
MATTHEW BINDER,
CALEB BAKER,
ERIC HAMMOND,
ELEANOR PATOUT,
JAIME STEVE,Principal
ZACHARY PERCONTI,Principal
STEVE ISSENMAN,"Cong. Page (87-88), Congressional Aide (1990's)"
JOEL ROBERSON,
KRISTIAN HAVARD,
CHRISTOPHER SENN,
CHRISTOPHER ROE,
ALANE DENT,
SARAH LECHNER,
DAVID MANN,
ELIZABETH DALTON,"Principal Deputy Asst Secretary, Office of Electricity Delivery and Energy Reliability, US DOE; Chief of Staff and Senior Advisor, Office of Nuclear Energy, US DOE; Special Asst to the Undersecretary of Energy, US DOE, Scheduler for Rep. Marion Berr"
SHANE SKELTON,"Legislative Counsel, Rep. Robert E. Latta (R-OH); Counsel and Policy Advisor, House Committee on the Budget"
PATRICK CURRIER,"Sr. Energy Counsel, House Committee on Energy & Commerce"
BARBARA PRESTON,
JOE CROWLEY,Member of House of Representatives
JULIAN CARDINALE,
ANDREW FINCH,
ANITA DIFANIS,
DANIEL ANTHONY,
KRISTEN O'BRIEN,
MICHAEL COHEN,
LISA ROBIN,
KANDIS MCCLURE,
ISABELLA WARREN,
MICHAEL GRIFFIN,
MATTHEW MCGINLEY,
STEPHANIE KENNAN,"Sr. Health Policy Advisor, Senator Ron Wyden"
GEORGE BUTTERFIELD,Former Member of Congress
REGINA SHERICK,
NICHOLAS GOLD,
RENEE BENDER,"Senior Vice President, Government Relations"
ZACHARY CLARK,
LUTHER MARKWART,
MATTHEW JENNINGS,"Staff Assistant, Committee on Transportation & Infrastructure 2003-2004 Legislative Director, Rep. Henry Brown (1st-SC) 2004-2005"
ANTHONY GARRETT,
ALYSSA DOOM,
ROBERT COON,
CARY LEIZEROWSKI,
JOHN BRESSLER,
HOLDEN HALEY,Security Policy
IAN GANSLER,
RANA ALTENBURG,
DANA LEE COLE,
BRYAN BRENDLE,
KENT CAPERTON,
LILLIAN HAWKINS,
JAMES DYKE,
KERRY O'HARE,"Deputy Administrator, Federal Highway Administration"
MICHAEL DINO,
LAUREN BURGESS,Aide to Congressman Langevin
DENA SHER,Associate Vice President for Public Policy
JOHN CACCIATORE,
SCOTT PACE,
DEVIN MOGLER,U.S. Senator Joni Ernst
JAMES NOE,
JAIME STEVE,Principal
ZACK PERCONTI,Principal
THOMAS BRIANT,
JOHN GOLDBERG,Science Advisor House Ag Committee (1994-2016)
CHRISTINE PELLERIN,Staff Asst Rep Conte/Leg Asst Rep Bonilla
KATHERINE SCHMITZ,
MEITAL STAVINSKY,
ROBERT LIVINGSTON,
J MARTIN,
PAUL CAMBON,
MATTHEW GERSON,
PAUL RYBERG,
RUSSELL FOX,
TYLER MCNEILL,
GREGORY BALES,Senior Advisor to Senator Dick Durbin
THOMAS LONDRIGAN,
MICHAEL FORSCEY,
KATHERINE FORSCEY,
DANIELLE GIANNANTONIO,Legislative Affairs Manager
JON YOUNCE,Vice President
GREG CAREY,
JENNIFER MICHAELS,
KRISTI WILLIAMS,
ETHAN MCCHESNEY,
LAWRENCE ATKINS,
TED HECKMANN,
DREW LESOFSKI,
SEBASTIEN DE BROUWER,Deputy Chief Executive Officer
BLAZEJ BLASIKIEWICZ,Director
THOMAS REYNOLDS,
SAMUEL MORRIS,
OLIVIER SCHERLOFSKY,
KEVIN CAREY,
PAUL HATCH,
MICHAEL KASTNER,
RAYMOND KELLEY,
ROBERT ELLSWORTH,"Chief of Staff, ID-1; Legislative Director, ID-1; Senior Legislative Assistant, NC-11; Professional Staff, House Admin. Committee; Intern, OH-8"
BRADFORD CHENEY,"Chief of Staff, Rep. Brad Sherman; Assistant to Chief of Staff, Sen. Hillary Clinton."
DANIEL ARCHER,"Legislative Director, NE; Senior Legislative Assistant, NE-2"
