name,former_government_position
GABRIELA SAENZ,
TIM DAY,Chief of Staff - Former Congresswoman Deborah Pryce
MICHAEL HEATON,former Legislative Director for Congressman Mike Turner (R-OH)
DAVID GARTEN,
LISETTE MONDELLO,Asst. Secretary Veterans Affairs; Senior Advisor to Secretary of Education; Senior Advisor to Sen. Kay Bailey Hutchison; Communications Director for Sen. Al D'Amato and Sen. Kay Bailey Hutchison.
KATERYNA ODARCHENKO,CEO SIC group
CINDY JIMENEZ TURNER,U.S. Representative Nancy Pelosi (D-CA)
ELIZABETH ANDERSON,Dept of Commerce Schedule C and SES 2001 - 2007; Senate staff 2010 - 2017
JOHN FRITZ,
BRIAHNA MURRAY,
KENYETTE BARNES,
JOHN BRENNAN,
BENJAMIN WALLNER,
ROBERT HARTWELL,
DAVID ROBERTS,
KEVIN JONES,
QUINTON CARROLL,Executive Director
LILLIAN SPARKS ROBINSON,Senior Advisor
DAVE WENHOLD,
DARREN BENJAMIN,"former staff, House Committee on Appropriations; former staff, Senate Committee on Indian Affairs"
DIANE MAJOR,Health Policy Analyst for Sen. Repub. Policy Com't.
BRENDA REESE,Conference Coordinator for House Republican Conf.
MATTHEW HITE,
ANDREW MOONEY,
CONNOR DOLAN,
JOSEPH BRADY,
STEPHEN RYAN,
ERIC JOHNSON,
JULIA MATHIS,
ALLIE EDWARDS,
CHANIN NUNTAVONG,Legislative Director
JAKE CORSI,Legislative Associate
PATRICK JOHNSTON,
JOHN SCHILLING,
CURTIS ROONEY,
DENYS EMMERT,
EARL STOCKDALE,Former Chief Counsel of Corps of Engineers (2004-2014).
DAVID MURRAY,
SERGIO GOMEZ LORA,
DAVID ZABLUDOWSKY,
LAURA DIETZ-MARTINEZ,
MILAM MABRY,"Legislative Staffer to Former US Senators from Texas, Hon. Phil Gramm and Hon. Kay Bailey Hutchison"
JUDSON HILL,
BRIAN DEARING,
ED GERAK,"Senator Sinema's Staffer - Chris Phalen, Senator Kelly's Staffer - Paul Babbitt, Congressman Gosar's Staffer - Rory Burke, Congressman Ciscomani's Staffer - Gabi Sheitelman, Congresswoman Lesko's Staffer - Lou Hrkman"
PAUL RYAN,
MARK KOPEC,
HYUN JUNG JE,
MYEONG PARK,
ERICA STOCKER,"2000-2009: Staff Assistant, Legislative Correspondent, Legislative Assistant, Deputy Chief of Staff, Rep. Jim Saxton"
KATIE WALDO,
LEIGH FELDMAN,2016-2017: Senate Finance Committee (Detailee)
RACHEL STAUFFER,"2013-2015: Health Policy Director, Rep. Diana DeGette; 2008-2011: Legislative Assistant, Senior Legislative Assistant, Rep. John Tierney"
JULIA GRABO,"2021: Paid Intern, Rep. Colin Allred"
JEFFREY DAVIS,"2007-2008: Staff Assistant, Sen. Dianne Feinstein."
AMY KELBICK,"2015-2017: Senior Policy Advisor, Rep. Jan Schakowsky; 2013-2015: Senior Legislative Assistant, Rep. Bill Foster; 2009-2013: Legislative Assistant, Staff Assistant, Rep. Maurice Hinchey"
DAVID SANDERS,"Legislative Affairs, Dept of Commerce, US Patent and Trademark Office (2005-2007) Legislative Assistant, Representative Marsha Blackburn (2002-2004) Legislative and Press Intern, Senator Fred Thompson (2000)"
BEN KENNEY,"Director of Strategic Communications and External Affairs, Centers for Medicare and Medicaid Services (2018-2021), Associate Administrator, General Services Administration (2017-2018), Legislative Aide, U.S. Sen. Daniel R. Coats (2011-2012)"
ALI MCBRIDE,
DEBRA CURTIS,"1998-2013: Legislative Director, Chief of Staff, Rep. Pete Stark; jointly Professional Staff on Committee on Ways and Means, Health Subcommittee"
RODNEY WHITLOCK,"2011-2015: Health Policy Director, Sen. Chuck Grassley; 2005-2010: Health Policy Advisor, Senate Finance Committee; 2003-2005: Legislative Director, Rep. Charlie Norwood; 1997-2002: Legislative Assistant, Rep. Charlie Norwood"
KAYLA HOLGASH,
RICHARD BURNESS,
CLAY WHITE,Chief of Staff for Congressman
