category,dimension,c1980,c1990,c2000,c2010,c2020,c2030,note
White,race,1,1,1,1,1,1,"The 1977 standard defined White as origins in any of the original peoples of Europe, North Africa, or the Middle East."
Black or African American,race,1,1,1,1,1,1,wording of the label has changed repeatedly; the category has not
American Indian or Alaska Native,race,1,1,1,1,1,1,with a write-in for enrolled or principal tribe
Asian or Pacific Islander,race,1,1,0,0,0,0,one category under the 1977 standard
Asian,race,0,0,1,1,1,1,split out by the 1997 revision
Native Hawaiian or Other Pacific Islander,race,0,0,1,1,1,0,split out by the 1997 revision
Native Hawaiian or Pacific Islander,race,0,0,0,0,0,1,the 2024 revision drops the word Other
Some Other Race,race,1,1,1,1,1,0,never an OMB minimum category; Congress required the Bureau to offer it
Two or More Races,race,0,0,1,1,1,1,arithmetically impossible before 1997 required mark one or more
Middle Eastern or North African,race,0,0,0,0,0,1,added by the 2024 revision; counted as White from 1977 until then
Hispanic or Latino,ethnicity,1,1,1,1,1,0,"asked as a separate question, so a Hispanic respondent also answers race"
Hispanic or Latino,combined,0,0,0,0,0,1,the 2024 revision moves it into the single combined question
