"state","year","url","fetched_on","format","rows","certified","notes"
"Alabama","2020","https://www.sos.alabama.gov/sites/default/files/election-data/2020-12/2020%20General%20Precinct%20Results.zip","2026-08-12","xls","67","yes","One .xls per county inside the SoS ""General Precinct Results"" ZIP; precinct columns summed to county. total_votes = Biden/Harris + Trump + all other listed candidates + Write-In, excluding over/under votes. County file named ""StClair"" renamed ""St. Clair County"" (FIPS 01115). Posted by the SoS after certification (files dated 2020-11-30 / 2024-12-05)."
"Alabama","2024","https://www.sos.alabama.gov/sites/default/files/election-data/2024-12/2024-General%20Precinct%20Level%20Results.zip","2026-08-12","xls","67","yes","One .xls per county inside the SoS ""General Precinct Results"" ZIP; precinct columns summed to county. total_votes = Biden/Harris + Trump + all other listed candidates + Write-In, excluding over/under votes. County file named ""StClair"" renamed ""St. Clair County"" (FIPS 01115). Posted by the SoS after certification (files dated 2020-11-30 / 2024-12-05)."
"Alaska","2020","http://www.elections.alaska.gov/results/20GENR/data/sovc/HD1p.pdf (through HD40p.pdf and HD99p.pdf); index at http://www.elections.alaska.gov/results/20GENR/","2026-08-12","pdf","41","yes","NOT COUNTIES. Alaska certifies by State House District; there is no county/borough certified return. county_fips is ""02"" + the 3-digit house district number (02001-02040, plus 02099 for the federal overseas absentee district); these are NOT Census FIPS and collide numerically with Alaska borough/census-area codes. Parsed from the 41 per-district Statement of Votes Cast PDFs (HD1p.pdf..HD40p.pdf, HD99p.pdf), the ""State - Total"" row of the U.S. President / Vice President table; total_votes includes the Write-in column. District 99 could not be parsed (its PDF page is rotated 90 degrees and pdftotext cannot read it): its Biden/Trump values come from the states own resultsbyprecinct.txt and its total_votes (438) is the residual against the certified statewide total. Statewide sums reproduce the certified Biden 153,778 / Trump 189,951 / total 359,530 (ElectionSummaryReportRPT24.pdf) exactly."
"Alaska","2024","https://www.elections.alaska.gov/results/24GENR/HD1.pdf (through HD40.pdf and HD99.pdf); index at https://www.elections.alaska.gov/election-results/e/?id=24genr","2026-08-12","pdf","41","yes","NOT COUNTIES. Alaska certifies by State House District (2021 plan); there is no county/borough certified return. county_fips is ""02"" + the 3-digit house district number (02001-02040, plus 02099 federal overseas absentee); NOT Census FIPS. Parsed from the 41 per-district Statement of Votes Cast PDFs, ""State - Total"" row of the U.S. President / Vice President table (the table wraps across two PDF pages). The 2024 general was ranked-choice, but Trump had a first-round majority so the certified presidential result is the first-choice count reported here. No write-in line is reported for president in 2024. Statewide sums reproduce the certified Harris 140,026 / Trump 184,458 / total 338,177 (ElectionSummaryReport.pdf) exactly."
"Arizona","2020","https://apps.azsos.gov/election/2020/2020_resultssummary_0.xml","2026-08-12","xml","15","yes","SoS Election Results Summary File, contest 'President of the United States', per-county jurisdiction rows (jurisdiction key 0 is the statewide row and is excluded). File timestamp matches the official canvass of 2020-11-30. total_votes sums the ballot-listed candidates: Arizona reports its 0 write-in presidential votes statewide only, with all-zero county rows, so they cannot be placed in a county and are not included here. apps.azsos.gov is behind a Cloudflare TLS-fingerprint challenge that 403s urllib and ordinary curl; fetched with a browser-identical TLS handshake (curl_cffi)."
"Arizona","2024","https://apps.azsos.gov/election/2024/ge/canvass/20241105_GeneralCanvass_Signed.pdf","2026-08-12","pdf (scanned)","15","yes","State of Arizona Official Canvass, signed and issued by the Secretary of State, report dated 2024-11-22; presidential table on pages 1-2, counties as columns. THE DOCUMENT IS A SCAN WITH NO TEXT LAYER, so these figures were read off the page rather than parsed, and that is the one place in this corpus where a number was transcribed by eye. Three checks guard it and all three pass exactly: each candidate's 15 county figures sum to the TOTAL printed in the canvass's own right-hand column; the four candidate totals sum to the statewide 3,389,319; and the file matches the independent AP county file to the vote. Arizona published no machine-readable 2024 file -- there is no successor to the 2020 results-summary XML, and results.arizona.vote is labelled unofficial. total_votes = Trump + Harris + Oliver (Libertarian) + Stein (Green), the only presidential candidates the canvass lists."
"Arkansas","2020","https://enr.totalresults.com/arkansas#election=1841&filter=all","2026-08-12","json","75","yes","Arkansas SoS publishes results only through the election-night reporting portal it links from its Election Results & Research page; the SoS site itself hosts no 2020 or 2024 results file and says so. Read from that portal's API: Contest/GetContestResults (electionID 1841, contestType FED), contest 'U.S. President', payload flagged isOfficial=true. Candidate and contest names come from Contest/GetContestSearchList because the results payload is numeric ids only. County identity comes from the portal's own county layer (enr-data.azureedge.us/gis/states/arkansas/counties.json), joining locationId to OBJECTID; that layer carries Census FIPS, so the FIPS here are the portal's, not inferred from a name. total_votes is the API's per-county totalVotes."
"Arkansas","2024","https://enr.totalresults.com/arkansas#election=1846&filter=all","2026-08-12","json","75","yes","Arkansas SoS publishes results only through the election-night reporting portal it links from its Election Results & Research page; the SoS site itself hosts no 2020 or 2024 results file and says so. Read from that portal's API: Contest/GetContestResults (electionID 1846, contestType FED), contest 'U.S. President', payload flagged isOfficial=true. Candidate and contest names come from Contest/GetContestSearchList because the results payload is numeric ids only. County identity comes from the portal's own county layer (enr-data.azureedge.us/gis/states/arkansas/counties.json), joining locationId to OBJECTID; that layer carries Census FIPS, so the FIPS here are the portal's, not inferred from a name. total_votes is the API's per-county totalVotes."
"California","2020","https://elections.cdn.sos.ca.gov/sov/2020-general/ssov/pres-summary-by-county.xlsx","2026-08-12","xlsx","58","yes","Secretary of State Statement of Vote, President, county x candidate spreadsheet. total_votes = all ballot-qualified candidates plus every certified write-in column (marked ""(W/I)""). County rows sum exactly to the workbooks own State Totals row (11110639 D / 6006518 R / 17501380 total). Footnote digits appended to some county names in the workbook were stripped. 2020 uses the Supplement to the Statement of Vote ""President - summary by county"" workbook; the per-race SOV files under /sov/2020-general/sov/ return 403 and only complete-sov.pdf is reachable there."
"California","2024","https://elections.cdn.sos.ca.gov/sov/2024-general/sov/16-president.xlsx","2026-08-12","xlsx","58","yes","Secretary of State Statement of Vote, President, county x candidate spreadsheet. total_votes = all ballot-qualified candidates plus every certified write-in column (marked ""(W/I)""). County rows sum exactly to the workbooks own State Totals row (9276179 D / 6081697 R / 15865475 total). Footnote digits appended to some county names in the workbook were stripped."
"Colorado","2020","https://co.elstats.civera.com/api/download_contest/3640_table.csv?split_party=false","2026-08-12","csv","64","yes","SoS historical elections database (historicalelectiondata.coloradosos.gov), contest 3640, county rows only. total_votes is the file's own 'Total Votes Cast'. Built from the Abstract of Votes Cast. Contest ids are not ordered by date and the site's search is JS-rendered; this id was recovered from the server-rendered candidate page /candidate/387, which lists that candidate's contests."
