"name","rank","count","pctwhite","pctblack","pctapi","pctaian","pct2prace","pcthispanic"
"SMITH",1,2369644,67.9949,22.618,0.681073,0.833205,4.37243,3.5004
"JOHNSON",2,1858234,56.7854,33.5641,0.707984,0.880675,4.72432,3.33752
"WILLIAMS",3,1561395,43.8243,46.2204,0.589793,0.781673,5.08475,3.49905
"BROWN",4,1386083,55.4319,34.684,0.660855,0.846847,4.82929,3.54712
"JONES",5,1383250,53.0558,37.2218,0.59165,0.9122,4.87302,3.34545
"GARCIA",6,1149510,5.70147,0.545015,1.64061,0.490209,0.42566,91.197
"MILLER",7,1129186,81.4662,10.4606,0.681553,0.620358,3.67707,3.09418
"RODRIGUEZ",8,1085838,5.12609,0.623574,0.69025,0.207674,0.324081,93.0283
"DAVIS",9,1074448,59.6162,30.8005,0.628043,0.776492,4.73564,3.44316
"MARTINEZ",10,1039848,5.60986,0.586913,0.72626,0.555658,0.38044,92.1409
"HERNANDEZ",11,1013895,4.23052,0.435647,0.735678,0.236612,0.282475,94.0791
"LOPEZ",12,878958,5.07374,0.639393,1.16649,0.397289,0.389552,92.3335
"GONZALEZ",13,828405,4.3597,0.421654,0.423585,0.160429,0.246136,94.3885
"WILSON",14,777275,64.4584,25.5484,0.762021,0.979962,4.6582,3.59307
"ANDERSON",15,756560,72.6201,18.4063,0.755261,0.666173,4.08203,3.47005
"THOMAS",16,734345,49.7179,37.759,3.18379,1.00607,4.76275,3.57053
"TAYLOR",17,723758,62.7485,27.6048,0.660027,0.716262,4.77825,3.49219
"MOORE",18,696384,63.7668,26.9798,0.624512,0.649211,4.58827,3.39138
"LEE",19,695657,33.2401,15.2613,43.8986,0.902169,4.16398,2.53386
"JACKSON",20,686937,38.2994,51.2494,0.532072,0.968648,5.4564,3.49406
"PEREZ",21,680712,5.24892,0.561912,1.36989,0.233579,0.377546,92.2082
"MARTIN",22,678691,71.8188,15.3622,1.09549,0.922658,4.06356,6.73723
"THOMPSON",23,640099,67.1385,22.9483,0.712702,1.13108,4.59819,3.47118
"WHITE",24,636798,62.9953,27.2904,0.656252,1.00016,4.67275,3.38506
"SANCHEZ",25,607848,5.15803,0.525625,1.14585,0.404377,0.394671,92.3714
"HARRIS",26,603371,49.2274,41.0366,0.618028,0.623166,5.18785,3.30692
"RAMIREZ",27,544204,4.32963,0.384047,1.09849,0.251376,0.337557,93.5989
"CLARK",28,539661,71.9776,18.4516,0.690248,0.930399,4.43427,3.51591
"NGUYEN",29,531404,1.3438,0.216408,95.4477,0.0214526,2.13679,0.833829
"LEWIS",30,515459,55.7233,34.0019,0.724597,1.13413,4.8225,3.5935
"ROBINSON",31,510138,46.7554,43.4406,0.622969,0.514371,5.07667,3.59001
"WALKER",32,504833,56.3297,33.9635,0.591879,0.813734,4.87131,3.42985
"HALL",33,470080,69.8273,21.1143,0.718601,0.602238,4.51668,3.22094
"YOUNG",34,468920,63.6893,23.9391,3.20609,0.736373,4.8247,3.60445
"ALLEN",35,465583,64.7805,25.5834,0.675497,0.774942,4.64686,3.53879
"KING",36,453539,67.5239,22.2704,1.14455,0.945012,4.53875,3.57742
"WRIGHT",37,443210,63.0633,27.5014,0.657927,0.658604,4.76591,3.35281
"TORRES",38,435998,5.6186,0.67615,1.62891,0.238533,0.40436,91.4334
"FLORES",39,426965,5.23275,0.501212,2.39973,0.382467,0.503788,90.9801
"SCOTT",40,421499,57.6583,32.0542,0.634402,1.09087,4.89491,3.66739
"HILL",41,419076,61.9663,28.119,0.663364,0.88194,4.81726,3.5521
"GREEN",42,415664,54.5308,35.79,0.568969,0.599523,4.74205,3.76867
"ADAMS",43,413470,71.1067,19.488,0.713957,0.745157,4.34155,3.60461
"NELSON",44,410801,75.0334,15.6358,0.861488,1.02166,3.90968,3.53797
"BAKER",45,401148,76.8524,14.0397,0.71096,0.839092,4.22363,3.33418
"RIVERA",46,398449,5.76209,1.05936,2.26528,0.203539,0.535828,90.1739
"MITCHELL",47,372104,58.402,31.7667,0.607088,0.96129,4.65972,3.60329
"CAMPBELL",48,370555,70.7096,20.2054,0.659551,0.628517,4.27035,3.5266
"GOMEZ",49,368213,5.26353,0.838373,1.18002,0.301999,0.400312,92.0158
"CARTER",50,364355,55.7264,34.4938,0.587888,0.732802,5.0599,3.39916
"ROBERTS",51,362049,74.2134,16.3384,0.766471,0.813978,4.38863,3.47909
"DIAZ",52,356910,5.38371,0.76686,1.34684,0.185481,0.394217,91.9229
"PHILLIPS",53,343656,73.5459,16.7959,0.726599,0.959972,4.50974,3.46189
"EVANS",54,343493,65.6508,25.0124,0.638441,0.678616,4.59223,3.42744
"CRUZ",55,342580,5.63693,0.933505,5.80419,0.294822,0.893514,86.437
"REYES",56,335828,4.53834,0.697679,6.15553,0.241493,0.703038,87.6639
"TURNER",57,333512,61.9291,29.0247,0.553203,0.549905,4.72187,3.22117
"PARKER",58,323880,66.3684,24.1018,0.693775,0.8392,4.69958,3.29721
"EDWARDS",59,320927,59.4733,30.8612,0.66121,0.713246,4.79548,3.4955
"COLLINS",60,317373,68.7563,22.0472,0.648448,0.69193,4.42287,3.43318
"STEWART",61,311429,66.4386,24.3022,0.626146,0.69454,4.44082,3.49775
"MORALES",62,310866,5.01631,0.608622,1.38388,0.221317,0.341305,92.4286
"PATEL",63,309327,3.03013,0.629108,93.7535,0.575766,1.55079,0.460678
"MORRIS",64,307446,70.2693,20.0165,0.734113,0.901296,4.45477,3.62405
"MURPHY",65,298047,80.5269,11.163,0.724047,0.583465,3.5538,3.44878
"COOK",66,290386,78.9067,12.1803,0.668765,0.902592,4.18615,3.15546
"ROGERS",67,289242,72.347,18.0465,0.6925,0.755077,4.45613,3.70278
"ORTIZ",68,288277,5.36706,0.754483,0.815882,0.401697,0.387475,92.2734
"MORGAN",69,276366,72.7383,17.2778,0.700882,1.17851,4.31348,3.79099
"GUTIERREZ",70,275216,4.92777,0.318659,1.70303,0.309938,0.377885,92.3627
