"state","cong_ideal","cong_pct_range","cong_people_range","house_ideal","house_pct_range","senate_ideal","senate_pct_range"
"Alabama",682819,0,1,45521,1.98,136564,1.99
"Alaska",NA,NA,NA,17756,4.25,35512,2.97
"Arizona",710224,0,0,213067,8.78,213067,8.78
"Arkansas",728980,0.06,428,29159,8.36,83312,8.2
"California",702905,0,1,465674,1.98,931349,1.99
"Colorado",718457,0,1,77372,4.98,143691,4.99
"Connecticut",714819,0,1,23670,5.99,99280,9.79
"Delaware",NA,NA,NA,21901,9.93,42759,10.73
"Florida",696345,0,1,156678,3.98,470033,1.92
"Georgia",691975,0,2,53820,1.98,172994,1.84
"Hawaii",680151,0.1,691,24540,21.57,50061,44.22
"Idaho",783791,0.1,682,44788,9.7,44788,9.7
"Illinois",712813,0,1,108734,0,217468,0
"Indiana",720422,0,1,64838,1.74,129676,2.88
"Iowa",761589,0,76,30464,1.93,60927,1.65
"Kansas",713280,0,15,22716,2.87,70986,2.03
"Kentucky",723228,0,334,43394,11.62,114194,11.02
"Louisiana",755562,0,249,43174,9.89,116240,9.86
"Maine",664181,0,1,8797,9.9,37953,9.51
"Maryland",721529,0,1,122813,8.87,122813,8.87
"Massachusetts",727514,0,1,40923,9.74,163691,9.77
"Michigan",705974,0,1,89851,9.96,260096,9.79
"Minnesota",662991,0,1,39582,1.6,79163,1.42
"Mississippi",741824,0.2,134,24322,9.95,57063,9.77
"Missouri",748616,0,1,36742,7.8,176145,8.5
"Montana",NA,NA,NA,9894,5.44,19788,5.26
"Nebraska",608780,0,1,NA,NA,37272,7.39
"Nevada",675138,0,1,64299,1.33,128598,0.8
"New Hampshire",658235,0,4,3291,9.9,54853,8.83
"New Jersey",732658,0,1,219797,5.2,219797,5.2
"New Mexico",686393,0,0,29417,6.68,49028,8.7
"New York",717707,0,1,129089,7.94,307356,8.8
"North Carolina",733499,0,1,79462,9.97,190710,9.49
"North Dakota",NA,NA,NA,14310,8.86,14310,8.86
"Ohio",721032,0,1,116530,16.44,349591,9.2
"Oklahoma",750270,0,1,37142,1.81,78153,2.03
"Oregon",766215,0,2,63851,3.1,127702,2.99
"Pennsylvania",705688,0,1,62573,7.88,254048,7.96
"Rhode Island",526284,0,1,14034,4.99,27699,5.01
"South Carolina",660766,0,1,37301,4.99,100551,9.55
"South Dakota",NA,NA,NA,23262,9.64,23262,9.47
"Tennessee",705123,0,86,64102,9.74,192306,9.17
"Texas",698488,0,32,167637,9.85,811147,8.04
"Utah",690971,0,1,36852,0,95306,0.01
"Vermont",NA,NA,NA,4172,18.8,20858,18.01
"Virginia",727366,0,1,80010,2,200026,4
"Washington",672454,0,19,137236,0.07,137236,0.07
"West Virginia",617665,0.79,4871,18530,9.99,109000,10
"Wisconsin",710873,0,1,57444,0.76,172333,0.62
"Wyoming",536626,0,0,9394,9.84,18788,9.37
