"variable","code"
"gender4",2
"gender4",1
"gender4",2
"gender4",2
"gender4",2
"gender4",1
"gender4",2
"gender4",2
"gender4",1
"gender4",2
"gender4",1
"gender4",1
"gender4",1
"gender4",2
"gender4",2
"gender4",1
"gender4",2
"gender4",2
"gender4",1
"educ",3
"educ",3
"educ",2
"educ",5
"educ",3
"educ",3
"educ",3
"educ",3
"educ",3
"educ",3
"educ",2
"educ",3
"educ",3
"educ",3
"educ",3
"educ",5
"educ",3
"educ",3
"educ",3
"race",1
"race",4
"race",4
"race",8
"race",1
"race",1
"race",1
"race",3
"race",1
"race",6
"race",1
"race",5
"race",1
"race",1
"race",1
"race",1
"race",1
"race",3
"race",1
"pid7",3
"pid7",1
"pid7",1
"pid7",2
"pid7",3
"pid7",4
"pid7",3
"pid7",7
"pid7",1
"pid7",1
"pid7",4
"pid7",4
"pid7",3
"pid7",2
"pid7",1
"pid7",4
"pid7",4
"pid7",4
"pid7",5
"ideo5",2
"ideo5",3
"ideo5",1
"ideo5",3
"ideo5",2
"ideo5",4
"ideo5",1
"ideo5",3
"ideo5",3
"ideo5",2
"ideo5",1
"ideo5",2
"ideo5",2
"ideo5",2
"ideo5",5
"ideo5",5
"ideo5",2
"ideo5",3
"ideo5",2
"newsint",1
"newsint",4
"newsint",1
"newsint",2
"newsint",2
"newsint",2
"newsint",2
"newsint",2
"newsint",1
"newsint",4
"newsint",2
"newsint",4
"newsint",1
"newsint",4
"newsint",4
"newsint",2
"newsint",1
"newsint",1
"newsint",3
"votereg",1
"votereg",1
"votereg",1
"votereg",1
"votereg",1
"votereg",1
"votereg",2
"votereg",2
"votereg",2
"votereg",1
"votereg",1
"votereg",1
"votereg",1
"votereg",2
"votereg",1
"votereg",3
"votereg",2
"votereg",2
"votereg",3
